0,1,2,3,4
-0.47,1.45,1.43,0.10,98.57
6.00,"2 , 73","2 , 66","0 , 19",97.34
19.95,"7 , 26","6 ,  77","0 , 51",93.23
22.77,"8 , 93","8 , 20",0.63,91.80
24.15,"9 , 53","8 , 70",0.67,91.30
25.75,"10 , 90","9 ,83",o .77,"90 , 17"
27.80,14.16,"12 , 40",1.00,87.60
28.65,15.87,13.70,1.12,86.30
29.05,16.04,"13 , 82",1.13,86.18
29.50,17.18,"14 , 66",1.21,85.34
30.10,19.45,"16 , 28",1.37,83.72
30.90,20.08,16.72,1.41,83.28
32.50,"22 , 57",18.41,1.59,81.57
33.70,24.63,"19 , 76",1.73,80.24
34.70,29.75,"22 , 93",2.09,77.07
36.50,31.15,23.75,"2 , 19",76.25
40.02,"35 , 56","26 , 23","2 , 50",73.76
