0,1,2,3,4,5,6,7
,0,0.098m,2.243,0.1453m,3.327,0.0861,1.970
t,6±lg,o.117g,2.678,--,--,o.117g,2.678
,7,0.120,2.747,0.1763m,4.038,0.1230m,2.815
,11,0.130,2.976,--,--,0.1505m,3.446
,15,0.138,3.159,0.2115m,4.845,0.1822m,4.173
,18,--,--,--,--,0.2135m,4.891
,20,0.161,3.687,0.2369m,5.429,0.2302m,5.274
,20.8,,,,,,
,±0.5g,--,--,"0.241m,g",5.523,0.241m,5.523
,25,0.165,3.778,0.2606m,5.973,0.2914m,6.681
,35,--,--,0.3116m,7.146,--,--
,40,0.203,4.650,0.3399m,7.797,--,--
,45,--,--,0.3657m,8.391,--,--
,55,0.242,5.545,0.4216m,9.679,--,--
,65,0.267,6.120,0.4769m,10.955,--,--
,75,0.296,6.787,0.5344m,12.283,--,--
,85,0.315,7.224,--,--,--,--
,95,0.340,7.799,--,--,--,--
