0,1,2,3,4
24,0.064,0.00,K,-
25.5,0.058,0.00,K,-
30.5,0.04,0.00,K,-
,0.043,0.31,K,0.19
,0.044,0.31,K,0.22
,0.046,0.65,S,0.20
,0.063,1.72,K,0.23
,0.064,1.80,K,0.18
32.0,0.033,0.00,K,-
,0.042,0.65,S,0.21
33.0,0.03,0.00,K,-
,0.047,1.40,S,0.22
,0.055,1.76,S,0.25
,0.067,2.51,S,0.19
,0.066,2.61,S,0.23
37.0,0.014,0.00,K,-
,0.033,1.33,S,0.24
,0.033,1.42,S,0.21
,0.035,1.44,S,0.21
,0.035,1.48,S,0.20
,0.038,1.52,S,0.24
,0.039,1.56,S,0.19
,0.035,1.58,S,0.23
,0.038,1.68,S,0.18
,0.037,1.79,S,0.24
,0.04,1.90,S,0.18
,0.04,1.93,S,0.21
,0.042,1.94,S,0.16
39.9,0.003,0.00,K,-
42.0,-0.006,0.00,K,-
44.0,-0.015,0.00,K,-
45.6,-0.017,0.31,K,0.21
,-0.018,0.31,K,0.26
,0.006,1.90,S,0.24
,0.007,2.21,S,0.21
48.2,-0.033,0.00,K,-
,-0.022,0.66,S,0.21
,-0.024,0.66,S,0.22
,-0.002,2.21,S,0.20
51.6,-0.048,0.00,K,-
,-0.032,1.35,S,0.20
,-0.028,1.65,S,0.17
,-0.021,1.68,S,0.24
,-0.028,1.69,S,0.22
