0,1,2,3,4
-0.0092,-0.0031,0.000819,0.00479,ice
0.0092,-0.0069,0.001866,0.01090,""""
0.0192,-0.0187,0.00512,0.02991,""""
0.0265,-0.0311,0.008605,0.05026,""""
0.0334,-0.0486,0.01354,0.07907,""""
0.0445,-0.0804,0.022648,0'.13218,
0.0468,-0.1186,0.033489,0.19533,""""
0.0553,-0.1928,0.054924,0.31996,""""
0.0628,-0.2746,0.078838,0.45863,""""
0.0668,-0.3596,0.10371,0.60245,""""
0.071,-0.4342,0.12579,0.72978,""""
0.0743,-0.5423,0.15765,0.91293,""""
0.0775,-0.6411,0.18703,1.0812,""""
0.0803,-0.7627,0.22318,1.2875,""""
0.0831,-0.9334,0.27394,1.5757,""""
0.0863,-1.2051,0.35492,2.0321,""""
0.0881,-1.40797,0.41547,2.3705,""""
0.0884,-1.4692,0.4337,2.4720,""""
0.0892,-1.6447,0.48597,2.7617,""""
0.0899,-1.7947,0.5307,3.0082,""""
0.0902,-2.0,0.59159,3.3418,""""
0.0908,-2.1912,0.64857,3.6520,""""
0.0907,-2.4503,0.72518,4.0658,""""
0.0907,-2.7072,0.8012,4.4729,""""
0.0894,-3.0499,0.90133,5.0040,""""
0.0884,-3.3825,0.99853,5.5138,""""
0.0862,-3.9186,1.154,6.3181,""""
0.0845,-4.3457,1.2774,6.9468,""""
