0,1,2,3,4,5,6,7,8,9,10,11,12,13
tlOc U0,2,(N03,) 2· 6H 20,,,U0,2.0,(N0,3,)2,Solid,,c
,,,,,,,,,,,Phase,,
,mass,,%,,mass,%,,,mol/kg,,,,
-1.6,13.80,,,,10.83,,,,0.3082,,A,,
-2.1,]5.59,,,,12.23,,,,0.3536,,A,,
-2.9,21.90,,,,17.18,,,,0.5264,,A,,
-4.4,29.96,,,,23.51,,,,0.7800,,A,,
-6.0,33.38,,,,26.19,,,,0.9005,,A,,
-7.9,41.44,,,,32.52,,,,1.223,,A,,
-11.2,47.45,,,,37.23,,,,1.505,,A,,
-18.1,54.90,,,,43.08,,,,1.921,,B,,
-12.1,58.00,,,,45.51,,,,2.119,,B,,
-2.2,62.13,,,,48.75,,,,2.414,,B,,
o,63.01,,,,49.44,,,,2.482,,B,,
12.3,67.36,,,,52.86,,,,2.846,,B,,
25.6,72.83,,,,57.15,,,,3.385,,B,,
36.7,78.05,,,,61.25,,,,4.011,,B,,
45.2 Bd,82.96,,,,65.10,,,,4.734,,,,
