0,1,2,3,4,5,6,7
23 . 1,2 . 50,---- ----,,-6 . 6,,,
22 . 7,2 . 51,2 . 0 0 . 23,,-7 . 1,,I I,
22.2,2 . 50,3 . 8 0 . 45,,- 7 . 6,,I I,
21 . 8,2 . 50,5 . 7  0 . 68,,-8 . 0,,"""",
21 . 4,2 . 50,7 . 4 0 . 90,,-8 . 5,,"""",
21 . 0,2 . 50,9 . 1  1 . 13,,-9.0,,"""",
2 0 . 3,2 . 50,12 . 2 1 . 57,,-2 . 2,,,
19 . 9,"2' , 50",13 . 8 1 . 81,,3 . 5,,"""",
19 . 6,2 . 50,15 . 2 2 . 03,,7 . 9,,"""",
19 . 2,2 . 52,1 7 . 3  2 . 3 7,,13 . 1,,"""",
18 . 7,2 . 51,19 . 3 2 . 7 0,,19 . 0,,"""",
18 . 1,2 . 50,21 . 3  3 . 06,,"26,1",,"""",
17 . 7,2 . 49,"23 , 1 3 . 3 9",,3 0 . l,,I I,
,,S ect ion IV,,,,,
34 . 6,4 . 41,---- ----,,-2 . 7,,C,
33 . 9,4 . 41,2 . 0 0 . 27,,-2 . 6,,"""",
33 . 2,4 . 3 9,3 . 8  0 . 52,,-2 . 5,,"""",
32 . 6,4 . 40,"5 , 7  0 . 80",,-2 . 6,,"""",
"32 , 0",4 . 40,7 . 4 1 . 06,,-2 . 5,,I I,
31 . 5,4 . 4 2,9 . 1 1 . 33,,-2 . 9,,"""",
3 0 . 9,4 . 41,10 . 7  1 . 59,,1 . 9,,,
3 0 . 4,4 . 41,12 . 2 1 . 8 5,,"9 , 0",,"""",
"29 , 9",4 . 42,13 . 8 2 . 13,,13 . 9,,"""",
29 . 4,"4 , 42",15 . 2 2 . 3 8,,18 . 5,,I I,
28 . 4,4 . 41,18 . 0  2 . 92,,27 . 6,,I I,
,,S ection V,,,,,
38 . 5,5 . 22,---- ----,,7 . 1,,C,
3 7 . 8,5 . 23,"2 , 0 0 . 29",,6 . 8,,"""",
3 7 . 1,"5 , 23",3 . 8 Q . 56,,6 . 9,,"""",
3 6 . 4,5 . 24,"5 , 7 0 , 8 6",,7 . 2,,"""",
"3 5 , 8","5,2 5",7 . 4 1 . 13,,7 . 1,,I I,
3 5 . 2,5 . 26,"9 , 1 1 . 42",,7 . 1,,"""",
34 . 5,5 . 24,"10 , 7 1 . 7 0",,"7 , 1",B,+,C
3 3 . 9,5 . 24,"12 , 2 1 . 97",,12 . 1,,,
3 3 . 3,5 . 24,"13 , 8 2 . 2 7",,17 . 9,,"""",
32 . 8,5 . 26,1 5 . 2  2 . 54,,22 .8,,"""",
32 . 2,5.25,16 . 7  2 . 84,,27 . 3,,"""",
