0,1,2,3,4,5,6,7,8,9,10
mass%,a mol/ kg,i,,mass% c mol/kg,a i,,mass%,M b,,solidphase
,,,,temp .  ..,-9 . 9 °c .,,,,,
----,----,---,,39 . 8,7 . 78 100 . 0,,60 . 2,714,,B
1 . 30,"0 , 18",2 . 3,,38 . 9 9,7 . 68 9 7 . 7,,59. 7 1,7 07,,I I
3 . 8,"0 , 53",6 . 9,,36.2,7 . 10 9 3 . 1,,60 . 0,728,,""""
6.01,0 .85,10.8,,34 . 9 5,6 . 9 6 89 . 2,,59 . 04,712,,I I
6 . 6,0 . 92,12 . 1,,3 3.7,"6 , 64 8 7 . 9",,59 . 7,736,,I I
8 . 5,1 .20,15 . 7,,32.3,6.42 84 . 3,,59.2,7 30,,I I
9.02,1 . 28,16 . 5,,32 . 37,6 . 50 83 . 5,,58 . 61,714,,B + C
8 . 8,1 . 24,"16 , 3",,32 . 0,6 . 36 83 . 7,,59 . 2,781,,C
10.0,1 . 37,19 . 5,,"29 , 3",5 . 68 80.5,,60 . 7,789,,I I
10 . 43,1 . 4 6,19 . 8,,29.85,5 . 88 8 0 . 2,,59 . 72,7 57,,I I
12 . 3,1 . 66,25 .8,,2 5 . 8,"4 , 90 74 . 8",,61 . 9,848,,'
15 . 7 5,2 . 08,34 . 4,,21 . 3,"3 , 98 65 . 6",,62 . 9 5,916,,
18 . 1,2 . 31,43. 9,,16 . 6,2.9 9  56 . 1,,65 . 3,1039,,
20. 74,2 . 62,52 . 4,,13.38,2 . 3 9  47 . 6,,6 5.88,1108,,
23 . 6,2 . 95,63 . 1,,9 . 8,1 . 7 3  36 . 9,,66 . 6,1187,,
2 4 . 1,3 . 00,65 . 3,,9.1,1 . 60 34 . 7,,66.8,1205,,
28 . 4,3 . 52,82 . 3,,4 . 3,o. 7 5  17 . 7,,67 . 3,1300,,
32 . 4,3 . 99,100.0,,----,---- ----,,67 . 6,139 1,,
25 . 0,2 . 9 5,79 . 7,,4 . 5,0 . 7 5 20 . 3,,7 0 . 5,1497,,I I
19 . 2,2 . 20,63 . 0,,8 . 0,1 . 29 37 . 0,,72 . 8,1592,,I I
17 . 3,1 . 98,55 . 2,,10.0,1 . 62 44 .8,,7 2 . 7,1545,,""""
13 . 3,1 . 48,43 . 8,,12 . 1,1.91 56 . 2,,74.6,1639,,I I
7.9,"0 , 87",2 5 . 1,,16 . 6,2 . 59 74 . 9,,7 5 . 5,1607,,I I
6 . 0,0 . 66,19 . 5,,17 . 7,"2 , 73 80 . 5",,7 6.3,1639,,I I
5 . 0,"0,55",15 . 8,,19 . 0,"2 , 94 84.2",,7 6 . 0,1592,,I I
3 . 9,0.43,12 . 1,,20.2,"3 , 13 8 7 . 9",,7 5 . 9,1562,,I I
"2 , 3  ----",0--. 2--5,"-6--, 9-",,21 .8 23 . 3,"3 , 38 3 , 57 100 . 0  9 3 , 1",,7 5 . 9  7 6 . 7,1531 1552,,I I I I
