0,1,2,3,4,5,6,7
mass%,mol /kga,mass% a mol/ kg mass%,mass%,pH,ind ex,phas e,
,,temp = 2 5 ° c .,,,,,
24 .8,2 . 43,0 . 30 0 . 04 8 . 65,13 . 10,8.2 5,1 . 355,KH :;o,
2 5.8,2 . 69,3 . 7 5 0 . 54 8 . 92,22 . 02,2 . 38,1 . 361,2,4.0
2 5 . 0,2 . 8 6,1 0 . 9  1 . 7 3 8 . 67,20 . 78,1 . 9 7,1 . 381,I I,
25 . 2,2 . 9 0,11 . 1 1 . 7 7  8 . 72,21 . 3 7,1 .86,1 . 387,I I,
27 . 2,3 . 42,14 . 4 2 . 51 9 . 4,22 . 41,1 . 61,1 . 3 97,I I,
30 . 8,4.59,23 . 7  4 . 40 1 I I  0. 92,2 6 .  70,1 . 12,1.417,,
30 . 4,4.8 6,23 . 7  5 . 26 10.67,3 1 . 57,0 . 56,1.417,I I,
34 . 7,6.8 9,28 . 3 7 . 80 12 . 0,33 . 65,0 . 21,1 . 419,I I,
3 6. 7,8 . 74,3 2 .8 10 . 97 12.7,35 . 58,0 . 20,1 . 422,I I,
37.9,9 . 83,33 .8 12 . 18 13 . 3,44.3 2,0 . 16,1 . 423,I I,
,,temp =  35 °c .,,,,,
27.2,2 . 74,0 . 0  0 . 00 9 . 4,14.3,3 . 5,1 . 360,"KH :,o",
28 . 0,3 . 02,4 . 4 0 0 . 60 9 . 5,17 . 3,2 . 7 6,1.37 3,2,
30 . 1,3 .85,12 . 5 2.22 10 . 4,24 . 7,1 .82,1 . 389,I I,
31 . 9,4 . 47,15 . 7 3 . 05 11.l,28 . 0,1 . 20,1 . 400,I I,
33 . 9,5. 7 1,22.5 5 . 26 11 . 81,34 . 4,0 .88,1 . 414,I I,
38.0,6 . 10,27 . 3  7 . 01  13 . 3,3 9 .8,0 . 3 I I  0,1 . 417,,
3 9.2,9.86,3 1 . 6 11 . 04 13 . 6,43 . 0,0 . 15,1 . 423,I I,
41 . 5,12.44,34 . 0 14 . 16 14 . 3,46 . 6,0 . 02,1 . 424,I I,
