0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
;;,; 14 .a,---- 72 . 9 1,,----- 149 . 8,,o . 409a -----,,"0 , 090 -----",,0 . 0502 -----,,1 . 445 1 . 365,,0  7 . 20,,,,A B,,
55 . 30,,13 . 94,,9 . 10,,0 . 051,,0 . 020,,0 . 01 39,,1 . 3 60,,"6 , 21",,,,I I,,
47 . 62,,10 . 73,,6 . 69,,0 . 059,,0 . 021,,0 . 0138,,1 . 3 64,,6 . 03,,,,I I,,
43 . 78,,9 . 30,,5 . 7 3,,0 . 059,,0 . 01 7,,0 . 0128,,1 . 366,,6 . 00,,,,I I,,
40 . 32,,8 . 06,,4 . 97,,0 . 059,,0 . 016,,0 . 0121,,1 . 3 68,,"5 , 98",,,,I I,,
3 6 . 48,,7 . 12,,4 . 22,,0.063,,0 . 021,,0 . 0121,,1 . 3 7 1,,"5 , 95",,,,I I,,
30.34,,"5,3 9",,3.20,,0.070,,"0 , 018",,0 . 0123,,1.374,,5 . 90,,,,I I,,
29 . 9 5,,5 . 3 6,,3 . 14,,0 . 07 3,,0 . 022,,0.0127,,1 . 3 7 6,,"5 , 89",,,,"""",,
28.18,,5 . 07,,2 . 89,,0 . 07 5,,0 . 022,,0 . 0128,,1 . 37 9,,"5 , 8 7",,,,I I,,
27 . 65,,4 . 7 3,,2 . 81,,"0 , 103",,0 . 03 1,,0 . 0174,,1 . 381,,"5 , 85",,,,I I,,
20 . 54,,3 . 29,,1 . 90,,"0 , 090",,0 . 024,,"0 , 0139",,1 . 384,,5 . 82,,,A,+,,B
13 . 06,,1 . 83,,1 . 10,,0.059,,0 . 014,,0 . 0083,,1 . 38 6,,8 . 9 6,,,,A,,
10 . 3 7,,1 . 38,,0 . 8 5,,0 . 054,,0 . 012,,0 . 0074,,1 . 388,,9 . 88,,,,I I,,
8 .45,,1 . 17,,0 . 68,,0 . 07 0,,0 . 015,,0 . 0093,,1 . 3 90,,10 . 61,,,,I I,,
8 . 06,,0 . 97,,0 . 64,,0 . 082,,0 . 019,,0 . 0109,,1 . 394,,11 . 15,,,,I I,,
5 . 38,,0 . 74,,0 .42,,0 . 117,,0 . 026,,0 . 0151,,1 . 398,,12 . 08,,,,I I,,
3.46,,0 . 37,,0 . 26,,0 . 178,,0 . 039,,0 . 0225,,1 . 405,,12 . 46,,,,I I,,
2 . 69,,0 . 3 6,,0 . 20,,0 . 19 9,,0 . 044,,0 . 0250,,1 . 423,,"12 , 9 5",,,,I I,,
1 . 54,,0 . 18,,0 . 12,,0 . 288,,0 . 064,,0 . 0358,,1 .432,,13 . 20,,,,I I,,
