0,1,2,3,4,5,6,7,8,9
no .,mass%,mol /kg,mass%,mol /kg,mass%,mol/kg,mass%,mol/kg,mass%
,,,,temp . ..,0 ° C,,,,
1 6,5 . 17,1 . 54,0.31,Q . 16,"3 , 09",1.01,5 . 7 0,0 . 67,8 5 . 72
17,5 . 14,1 . 53,0 . 34,0 . 17,3.10,1.02,5 . 74,"0 , 69",8 5 . 68
18,6 . 70,"2 , 06",0.66,"0 , 34","5,62",1 . 91,4 . 03,a . so,"82,99"
19,5 . 46,1 . 69,1 .36,0.71,"5 , 20",1 . 7 7,5 . 38,"0,67",82 . 61
20,3 . 82,1 . 16,0.97,o . so,1 . 50,a . so,9 . 47,1 . 16,84 . 24
21,7 . 61,2 . 46,1 . 62,0 .89,8 . 20,2 . 91,"3 , 29",Q . 43,7 9 . 27
22,3 .89,1 . 2 2,1 . 93,1.03,2 . 98,1 . 03,9 . 66,1 . 2 2,81 . 53
23,3 . 7 9,1 . 23,3 . 12,1 .  7 2,4 .81,1 . 7 2,9 . 40,1 . 23,78.88
24,5 . 54,1 . 90,4 . 7 5,2 . 7 7,10 .8 6,4 . 09,"4 , 11",0 . 57,7 4 . 73
25,3 . 57,1 . 20,4 . 52,2 . 58,6 . 9 7,2 . 58,8 . 8 5,1.20,76 . 09
26,2 . 93,1 . 01,4.39,2 . 56,4 .33,1 . 64,"13,94",1 . 93,74 . 42
2 7,3 . 18,1 . 13,"6 , 7 2",4 . 07,10 . 37,4 . 0 6,7 . 88,1.13,7 1.84
28,3 . 9 6,1 . 45,7 . 7 2,4.80,13 . 84,5 . 57,4 . 57,0 . 67,69 . 91
29,0 . 93,0.35,8 . 50,5 .36,9 . 64,3 . 93,1 1 . 90,1 . 78,69.02
,,,,temp . =,25 °C,,,,
3 0,5 . 7 6,2 . 2 5,8 . 08,5 . 38,15.91,6 .85,4 . 86,a . 7 7,"65 , 38"
31,2 . 50,1 . 17,9 . 62,7 . 64,7 . 90,4 . 06,2 5 . 20,4 . 74,54 . 7 7
32,5.7 3,"2 , 16",8 . 11,5 . 20,"17 ,36",7.20,"0 , 96",0 . 15,67 . 82
33,5 . 74,2 . 18,8 . 10,5 . 23,17.00,7 . 11,1 . 88,0 . 29,67 . 28
34,"5 , 73",2 . 19,8 . 09,5 . 2 6,16 . 72,7 . 03,2 . 60,0.40,66 .87
3 5,5 . 78,2 . 24,8 . 06,5 .32,16 . 18,6 . 91,4 . 10,0 . 64,6 5.87
36,12 . 68,4 . 54,1 . 11,0.68,12 . 24,4 .83,2 . 66,0 . 38,71 . 31
3 7,11 . 98,4 . 33,1 . 7 7,1 . 09,12.56,4 . 98,2.85,0 . 41,7 0 .84
38,9 . 60,3 . 52,3 . 94,2 . 46,13 . 59,5 . 49,3 . 24,0 . 48,69 . 64
39,7 . 4 2,2.80,6.17,3 . 96,14 . 81,6 . 16,3 . 94,0 . 60,67.67
40,2 . 43,1 . 20,9.11,7 . 62,4.60,2 . 49,31 .89,6 . 33,51 . 97
41,0 . 52,0 . 2 2,10 . 3 5,7 . 59,8 .82,4 . 19,21 . 03,3 . 66,59 . 28
42,3 .84,1 . 53,8 . 86,6 . 01,13 . 66,6 . 00,9 . 53,1 . 53,64 . 10
43,3 . 14,1 . 30,9 . 09,6 . 41,11 . 65,5 . 3 1,14 . 3 9,2 . 40,61. 72
44,2 .46,1 . 14,9 . 58,7 . 56,7 . 96,4 . 06,24 . 49,4 . 66,5 5 . 11
45,11 . 19,3 . 95,2 . 17,1 . 30,"13 , 11",5 . 09,1 . 04,0 . 15,7 2 . 49
46,10 . 05,"3 , 62",3 . 52,"2 , 1 5",14 . 01,"5 , 5 5",1 . 45,0 . 21,"70,97"
47,7 . 56,2 . 7 9,"5 , 97",3 . 74,1 5 . 4 7,6 . 27,1.64,0 . 24,69 . 36
48,0 .84,0.30,10 . 03,6 . 09,15 . 46,6 . 08,2.09,0 . 30,7 1 . 57
49,2 . 3 7,0.89,9 . 39,6 . 02,14 . 48,6 . 00,5 . 88,0 .89,67 . 88
50,1 . 55,0 . 64,9 . 80,6 . 83,"10,93",4 . 92,15 . 32,2 . 53,62 . 41
51,8 . 54,2 .80,0 . 63,0 . 35,6 . 38,2 . 3 0,6 . 38,0 . 84,78 . 06
52,9 . 20,"3 , 14",1 . 69,"0,98",9 . 14,3 . 43,4 . 94,0.68,7 5 . 02
53,7 . 64,2.57,1 . 96,1.13,7 . 38,2 . 73,7 . 08,"0 , 9 6","7 5,93"
54,6 . 44,2 . 17,2 . 31,1 . 32,"5,96",2 . 21,9 . 47,1 . 29,7 5 . 82
55,5 . 66,1 . 8 7,1 . 21,o . 68,1.87,0.68,14 . 03,1 .87,7 7 . 2 2
56,6 . 50,2 . 28,3 . 94,2 . 36,9 . 27,3 . 58,7 . 44,1 . 05,72 .84
57,7 . 65,2 . 75,4 . 33,2 . 64,11 . 7 2,4 . 64,5 . 16,0 . 7 5,71 . 14
58,5 . 49,1 . 88,2 . 51,1 . 4 6,3 . 92,1 . 48,13.46,1 .86,74.61
59,5 . 12,1 . 81,"3 , 91",2 .35,6 . 02,2 . 34,12 . 7 1,1 .81,7 2.24
60,4.69,1 .  73,"5 , 60",3 . 51,8 . 66,3 . 51,11 . 61,1 . 7 2,69 . 44
61,4 . 14,1 . 60,7.65,5 . 04,11 .80,5 . 02,10 . 28,1 . 60,66.11
62,3 . 66,1 . 45,6.40,4 . 31,6 . 11,2 . 6 6,"19,28",3 . 08,64 . 55
63,"2 , 65",1.25,8 . 43,6 . 7 7,4 . 37,2 . 27,30 . 34,s .  7 7,54 . 2 1
64,1 . 12,0.52,9 . 65,7.59,5 . 47,2 . 78,28 . 50,5 . 32,5 5.27
,,,,temp ..,50 ° C,,,,
65,7 . 69,3.17,7 . 48,5 . 2 5,16.02,7 . 28,6.85,1.14,61 . 9 6
66,3 . 00,2 . 11,10 . 89,13 . 02,2 . 10,1 . 62,47 . 63,13 . 50,36 .38
67,7 . 73,2.98,7.49,4 . 92,18 . 5 6,7.88,a,a,6 6 . 2 2
68,7 . 61,3 . 01,7.53,5 . 06,17 . 49,7 . 61,2 . 7 4,0 . 44,64 . 63
69,5 . 86,2 . 48,8 . 19,5 . 91,13 . 5 7,6 . 33,12 . 04,2 . 0 6,60 . 34
