0,1,2,3,4,5,6,7,8
a mass% mol/kg a,,mass%,mol/ kg,,mass%,mass%,mass%,mass%
7 . 8  0 . 52,,----,----,,1 . 1,89 . 7,----,10 . 3
7 . 6 7 . 5  Q . 52 0 . 52,,3 . 0  5 . 3,0 . 24 o . 43,,--0-. -06,86 . 9  85 . 0,12 . 1 15 . Q,1 . 0 ----
7 . 3  Q . 52,,8 . 0,0 . 66,,----,82.8,17.2,----
7 . 6 0 . 5 5,,7 . 8,0 . 65,,----,82 . 7,17 . 3,----
6.8 0 . 48,,7 . 0,0 . 57,,----,7 9 . 2,20 . 8,----
6 . 8  0.48,,6 . 9,0 . 56,,----,7 7 . 6,22.4,----
7 . 3  0 . 52,,7.9,0 . 66,,----,7 6 . 2,23 . 8,----
6 . 7 a . so,,12 . 1,1 . 05,,----,7 5 . 2,24 .8,----
5 . 7 0 . 43,,14 . 1,1.24,,----,74 . 9,25.1,----
6 . 3  o . s1,,18 . 2,1 . 70,,----,73 . 1,26 . 9,----
5 . 6 o . 4 5,,19 . 4,1 . 82,,----,71 . 3,28 . 7,----
5 . 9 0.51,,23 . 6,2 . 36,,----,68 . 9,31 . 1,----
5 . 2 Q . 4 7,,26 . 9,2 . 7 9,,----,58 . 8,41 .2,----
5 . 6  0 . 52,,28 . 4,3 . 03,,----,55 . 4,44 . 6,----
5 . 5 0 . 52,,30 . 4,3 . 34,,----,51 . 6,48 . 4,----
5 . 4  o . s1,,30 . 4,3 . 33,,----,20 . 1,7 9 . 9,----
3.3 0 . 30,,30 . 5,3 . 24,,----,1.0,9 9 . 0,----
1 . 6  0 . 14,,30 . 9,3 . 22,,----,0,100,----
