0,1,2,3,4,5,6,7,8,9
"0 , 0092","0 , 0185","33 , 3","66 , 7",,1.31,0 .004,98.6 7,0 . 09,0 .001
"0,0044",0 . 0089,"32,9","6 7 , 1",,0 . 62,0 . 004,99 . 37,"0,04",0 . 001
"0 , 0025",0 . 0055,31 . 1,"68 , 9",,"0 , 36",0.02,9 9 . 62,0 . 02,0 . 005
"0 , 0035",0 . 0081,"30 , 4","6 9 , 6",,"0 , 50",0 . 04,99 . 45,"0 , 04",0.01
0 . 0036,0 . 0095,"2 7 ,8","72 , 2",,"0,5 1",0 . 09,99 . 40,"0 , 04",0 . 02
0.0020,0 .0058,"25 , 8","74 , 2",,0 . 28,"0,07",9 9 . 64,0 . 02,0 . 02
"0 ,0022",0 . 0081,21 . 6,"78 , 4",,0 . 31,"0,15",99 . 54,0 . 02,0.04
"0,0016",0 . 0076,"17 , 4",82 . 6,,0 . 23,0 . 18,99 . 60,0 . 02,0 . 04
"0, 0017",0 . 0116,"12 , 5","8 7 , 5",,"0 , 24",0 . 33,9 9.43,0 . 02,0 . 08
0.0010,0 . 02 7 7,"3 , 6",96 . 4,,"0 , 14",1 . 03,98.8 3,0 . 01,0 . 26
,,,,temp,= 5 73 K,,,,
"0 , 0202",0 . 0542,"2 7 , 1",72 . 9,,"2 , 88",0.55,96.58,0 . 21,0 . 14
"0,0228",0.0621,26.8,73 . 2,,3.24,0.66,96 . 10,0 . 24,0 . 17
"0 , 0185",0.0524,26 . 1,7 3 . 9,,"2 , 63",0 . 62,96 . 75,"0,19",0 . 16
"0,0166",0 . 0525b,24.0,74.0,,"2 , 36",o .  7 7,96 . 8 7,0 . 17,0.20
"0 , 0102",0.0468,17.9,82 . 1,,1 . 45,1 . 06,9 7 . 49,"0,10",0 . 2 7
0 . 006 7,0 . 05 35,11 . 2,88 .8,,"0 , 95",1 . 60,9 7.44,0 . 01,0 . 41
"0 ,005 7",0 . 0812,6 . 5,93 . 5,,"0 ,81",2.80,96 . 40,0 . 06,"0 , 72"
"0 , 0067",0 . 1112,5.7,94.3,,"0 , 95","3 , 91",95.13,"0 , 07",1 . 03
