0,1,2,3,4,5
mass%,mol/kg,mass%,mol/kg,mass%,phasea
"48 , b9",7 . 91,----,----,51 . 3 1,
"4 6 , 59",7 . 53,1 . 8 6,"0 , 29",51 .  55,I I
40 . 84,6 . 50,"6 ,8 0",1 . 06,52 . 3 6,I I
3 7 . 7 1,5 . 95,9 . 50,1 . 4 7,52 . 7 9,I I
34 . 24,5 . 38,12 .81,1 . 97,52 . 95,I I
"27 , 99",4 . 3 7,18 . 67,2 .86,53 . 34,I I
"24 , 69",3 . 85,21 . 51,3 . 26,53 . 50,I I
22 . 89,3 . 55,23 . 43,"3 , 56",53 . 68,I I
13 . 89,2 . 18,33 . 15,5 . 11,52 . 96,I I
11 . 53,1 . 84,3 6 . 41,s .  71,52 . 06,I I
"8 , 3 7",1 . 3 7,4 0 . 82,6 . 56,SO . Bl,I I
"5 , 23","0 , 90",46 . 3 6,7 .82,48 . 4 1,""""
"3 , 55",o . 64,50 . 11,8 . 83,4 6 . 34,""""
1 . 4 7,0 . 31,"5 9 , 44",12 . 42,3 9 . 09,""""
"0 , 66",0 . 1 7,"67 , 09",1 6 . 99,3 2 . 2 5,
"0 , 74",0.19,"6 5 , 97",16 . 94,3 2 . 29,""""
"0 , 3 9",0 . 10,"67 , 3 5",17 . 05,3 2 . 26,""""
