0,1,2,3,4,5,6,7,8,9,10,11,12
mass%,mol/ kga,a mass% mol/kga,t1,°,c,mass%,mol/kg,,mass%,mol /kg a,,t/ 0 c
8 . 2,1 . 39,"42 , 7  10 . 23",3 5 . 3,,,5.8,o . 7 5,,29 . 9,5 . 4 7,,-17 . 4
7 . 5,1 . 1 7,39 . 1 8 . 61,17 . 8,,,"5 , 4",0 . 68,,"28 , l",4 . 97,,-16 . 0
7 . 2,1 . 08,"3 7 , 5  7 . 98",9 . 8,,,4 . 1,o . 46,,21.5,3 . 40,,-10.9
6 . 9,1 . 01,3 6 . 0 7 . 4 2,1 . 4,,,3 . 3,"0 , 3 5",,17 . 4,2 . 58,,-8 . 4
6 . 8,0 . 9 8,3 5 . 2 7 . 14,-2 . 3,,,2 . 8,"0 , 28",,14 . 6,2 . 08,,-6 . 9
6 . 6,0 . 93,34 . 4  6.8 6,-6 . 0,,,2 . 4,0 . 24,,12 . 6,1 . 7 4,,"- 6 , 0"
6 . 5,0 . 9 0,"33 . 6 6 , 61",-9.7,,,1 . 9,"0 , 18",,9 . 9,1 .  32,,-4 . S
6 . 3,0 . 86,"32 . 9 6,37",-13 . 6,,,1 . 6,0 . 15,,8.0,1.04,,-3 . 8
6 . 2,0 . 84,"32 . 0 6 , 09",-15 . 8,,,1 . 3,0 . 12,,6 . 9,0 . 89,,-3 . 0
6 . 0,o .  7 9,"30 , 9  5 , 7 6",-18 . 2,,,,,,,,,
,,,S ect ion,,,I I I,,,,,,
10 . 6,1 . 8 1,"40 , 6  9 , 7 9",34 . 3,,,"8 , 0",1 . 08,,30 . 4,5 . 80,,-16 . 4
10 . 2,1 . 67,"38 . 8  8 , 9 5",24 . 7,,,5 . 8,"0 , 67",,22 . 3,3 . 65,,-12 . 2
9 . 8,1 . 54,3 7 . 2  8.26,16.3,,,4 . 7,"0 , 51",,17 . 8,2 . 7 0,,-9 . 1
9 . 4,1 . 4 3,3 5 . 7 7 . 6 5,9 . 2,,,3 . 9,0 . 40,,14 . 8,2 . 14,,-7 . 4
9 . 0,1 . 32,34 . 3  7.12,0 . 8,,,3 . 3,0.33,,12 . 7,1 . 7 8,,-6 . 3
8 . 7,1.24,3 3 . 1  6 . 69,-6 . 0,,,2.9,0 . 28,,11 . 1,1 . 52,,-5 . 4
8 . 4,1 . 17,"3 1 . 9 6 , 29",-11.2,,,2 . 3,0 . 22,,8 . 9,1 . 18,,-4 . 3
"8 , 2",1 . 13,3 1 . 4 6 . 12,-13 . 2,,,1 . 9,"0 , 17",,7 . 4,0.9 6,,-3 . S
8 . 1,1 . 11,"3 1 . 0 5 , 9 9",-15 . 2,,,,,,,,,
,,,S ect ion,,,IV,,,,,,
12 . 7,2 . 12,3 7 . 5  8.86,27 . 7,,,9.0,1 . 16,,2 6 . 6,4 . 86,,-18 . 0
12 . 1,1 . 94,3 5 . 8  8 . 08,19 . 0,,,8 . 5,1 . 0 6,,25 . 0,4 . 4 2,,-16 . 4
1 1 .  6,1 . 7 9,34 . 3  7 . 4 6,11 . 1,,,8 . 0,"0 , 97",,23 . 6,4 . 0 6,,-14 . 0
11 . 1,1 . 65,32 . 9  6 . 9 1,3 . 5,,,6 . 2,0 . 68,,18 . 3,"2 , 85",,- 10 . 1
10 . 7,1 .  56,32 . 2  6 . 63,"0 , 4",,,5 . 0,0 . 52,,14.9,"2 , 19",,-8.1
"10 , 2",1 . 42,30 . 2 5 . 9 6,-5 . 3,,,4 . 3,0 . 4 3,,12 . 6,1. 7 8,,-6 . 5
10 . 0,1 . 38,2 9 . 6  5 . 7 7,- 7 . 2,,,3 . 3,0 . 32,,9 . 6,1 . 3 0,,-4 . 9
9 . 7,1 . 31,28 . 5 5 . 42,-13 . 0,,,,,,,,,
,,,S ec t ion,,,V,,,,,,
"1 6 , 5",2 . 83,34 . 9 8.4 5,30 . 7,,,12 . 3,1 . 66,,2 5 . 9,4 . 9 3,,-9 . 8
"16 , 1",2 . 6 9,34 . 0  8 . 02,"2 6 , 5",,,11 . 6,1 . 51,,24 . 4,4 . 48,,- 14 . 3
"15 , 9",2 . 62,3 3 . 5  7 . 7 9,2 2 . 7,,,11 . 3,1 . 4 5,,2 3 . 7,4 . 29,,-16 . 8
15 . 8,2.58,3 3 . 2 7 . 66,20.7,,,11 . 0,1.39,,23 . 1,4 . 12,,- 16 . 0
"1 5 , 5",2 . 49,3 2 . 7  7 . 43,18 . 0,,,10 . 4,1 . 28,,2 1 . 9,3 . 80,,-14 . 5
15 . 3,2 . 4 3,32 . 3  7 . 2 5,15 . 5,,,9 . 9,1.19,,20 . 9,3 . 55,,-13 . 5
14 . 8,2 . 29,3 1. 3 6 . 83,13 . 2,,,9 . 4,1 . 1 1,,19 . 9,3 . 3 1,,- 12 . 6
14 . 5,2 . 20,30 . 5  6 . 52,10 . 6,,,8 . 6,0 . 9 8,,18 . 2,2 . 92,,-11 . 2
14 . 0,2.07,29.6 6 . 17,8 . 0,,,7 . 1,0 . 7 6,,1 5 . 0,2 . 26,,-8 . 9
"13 , 9",2.04,29 . 2 6 . 04,6 . 3,,,6 . 0,0.62,,12 . 8,1 . 8 5,,-7 . 3
"13 , 5",1 . 94,28 . 4 5 . 7 5,3 . 7,,,5 . 3,0 . 53,,1 1 . 8,l.67,,-6.3
13 . 1,1 . 84,2 7 . 5 5 . 4 5,-1 . 1,,,4 . 2,0 . 40,,8 . 9,1 . 20,,-4 . 9
12 . 7,1 . 7 5,26 . 7 5.18,-4 . 8,,,3 . 5,0 . 33,,7 . 3,0 . 9 6,,-3 . 8
,,,S ect ion,,,VI,,,,,,
34 . 9,7 . 88,28 . 2  8 . 99,"38 , 5",,,30.7,5 . 7 5,,24 . 8,6 . 5 6,,24 . 1
34 . 3,7 . 52,27 . 7 8 . 58,34 . 4,,,29 . 6,5 . 30,,2 3 . 9,6 . 05,,20 . 5
33 . 8,7.24,27 . 3 8 . 2 6,31 . 6,,,2 7 . 6,"4 , 61",,22 . 5,"5 , 30",,15 . 9
3 3 . 2,"6 , 92",26 . 8  7 . 88,29 . 5,,,2 5 . 8,4 . 02,,20 . 8,4 . 58,,6 . 8
3 1 . 9,6 . 2 7,25 . 7  7 . 13,26 . 2,,,,,,,,,
