0,1,2,3,4,5,6,7,8,9,10
----,----,----,"32 , 4  100 , 0",,3.99,"6 7 , 6",13 91,A +,,C
"3 , 6",1 1 . 7,"0 , 46","28 , 6 88 , 3",,"3 ,51",67 . 8,1400,A,,
7.5,24 . 0,"0 , 96",24 . 6  76 . 0,,3 . 02,"67 , 9",1398,I I,,
9 . 2,2 9 . 6,1 . 18,2 2 . 8 7 0 . 4,,2 . 7 9,68.0,1402,A +,,B
"8 , 5",23 . 8,1 . 1 7,28 . 4 76.2,,3 . 7 5,63 . 1,1 129,B +,,C
3 . 4,10 . 4,0 . 45,3 0 . 4  89 . 6,,3 . 83,"66 , 2",1302,C,,
,,,t emp . = -7 ° C,,,,,,,
----,----,----,24.2 100 . 0,,2 . 66,7 5 .8,2092,A,,
4 . 0,16.5,"0 , 46","21.0 83 , 5",,2 . 33,7 5 . 0,1988,I I,,
8 . 4,33 . 5,0.98,1 7 . 4 66 . 5,,1 . 95,74 . 2,1893,I I,,
12.3,48 . 1,1 . 45,13 . 8  51 . 9,,1 . 56,73 . 9,1851,A +,,B
10 . 6,"34 , 6",1 . 34,20 . 8  65 . 4,,2 . 53,68.6,1436,B,,
8 . 8,23 . 7,1 . 24,29 . 4  76 . 3,,3 . 96,61 .8,1068,B +,,C
"7 , 0","19 , 8","0 , 96","29 , 7  8 0 , 2",,"3 , 91",63 . 3,1140,,,
"--3-, 4-","-1-0-, -0","-0-, -4-5","3 1 . 5  33 . 6  100 , 0  9 0 . 0",,4 . 03 4 . 22,"65 , 1 66 .4",123 9 1261,I I I I,,
