0,1,2,3,4,5,6,7,8,9,10,11,12
B20,,P,,,,,,,,,,
,,,,,,,,,a,,a,
3,,205,,,r efr .,,,NaHl0 4,,NaB0,2,solidb
mass% mol%,,mass%,mol%,,index,,pH,mass% mol/ kg,,mass% mol/kg,,phase
,,,,,temp .,..,3 5° C,,,,,
"13 , 16 0 . 03 75",,----,----,,1 . 400,,10 . 3 6,"0 , 00 o . oo",,24 . 87,4 . 24,A
"2 , 42 0 . 0065",,3 . 85,"0 , 0051",,1 . 3 68,,10 . 13,"6 , 51 0 , 61",,4 . 57,0 . 78,I I
"2 . 51 0,0068",,4 . 00,"0 , 0053",,1 . 3 7 1,,10.65,"6 , 7 6 0 , 63",,4 . 74,0.81,I I
1 . 26 0 . 0033,,1 . 18,"0 , 0001",,1 . 3 70,,10 . 3 6,"2 , 00 0 , 19",,2 . 38,"0,40",I I
"5 , 02 0 . 0134",,0 . 7 5,"0 , 0010",,1 . 3 91,,11 . 1 7,1 . 27 0 . 12,,"9 , 45",1 . 62,I I
1 . 49 0 . 0039,,2 . 59,"0 , 0034",,1 . 3 65,,10 . 02,"4 , 38 0 . 41",,2 . 82,0 . 48,""""
"2 , 54 0 . 0071",,7 . 20,"0 , 0099",,1 . 3 65,,8 . 19,12 . 18 1 . 14,,4.80,0 . 82,B
"1 . 90  0 , 0054",,6 . 17,"0 , 0083",,1 . 3 62,,9 . 60,"10 , 43 0 , 97",,3 . 59,"0 , 61",""""
"1 . 83 0,0049",,2 . 51,"0 , 0032",,1 . 3 67,,10.66,4 . 24 0 . 40,,3 . 4 6,"0 , 59",
"-5-, -0-3 -0-.-01--4-6",,"8 , 96 32 . 40","0 , 0128 0 , 0603",,1 . 3 91 1 . 412,,"7 . 51 3 , 02",11 . 7 7  54 . 7 9  5 . 12 1 . 10,,"9 , 51 o . oo",1 . 62 o . oo,B C
"0 , 84 0 . 0025",,15 . 25,"0 , 0596",,1 . 37 7,,3 . 24,"25 . 7 9 2 , 41",,1 . 59,0 . 27,""""
1 . 20 0 . 003 5,,14 . 16,"0 , 0206",,1 . 380,,3 . 40,23 . 94 2.24,,2.27,"0 , 3 9",I I
1.71 0 . 0049,,11 . 82,"0 , 0169",,"1 , 380",,3 . 63,"19 , 99 1 . 87",,3 . 23,"0 , 55",I I
"2 , 51 0 . 0073",,11 . 7 6,"0 , 01 69",,1 . 383,,"3 , 70",19 . 87  1 . 89,,4 . 74,"0 , 81",II
"7 , 48  0 , 0234",,10 . 10,"0 , 0149",,"1,413",,7 . 00,1 7 . 08 1 . 60,,14 . 14,2 . 4 1,B + C
"1 . 43 0 , 0043",,12 . 7 1,"0 , 0183",,1 . 381,,3 . 61,21 . 4 9 2 . 01,,2 . 7 0,"0 , 4 6",C
"4 , 20 0,0121",,"9 , 20","0 , 013 1",,1.38 5,,7.44,"15 , 56 1 . 4 5",,7 . 94,1 . 35,B
"2 , 05 0 . 0057",,7 . 03,"0,0096",,1 . 3 65,,9 . 10,11 . 89 1 . 11,,3 . 87,"0 , 66",I I
"3 , 50 0 . 0099",,7 . 98,"0,0111",,1.3 7 1,,7 . 92,13 . 49 1 . 26,,6 . 62,1 . 13,""""
