0,1,2,3,4,5,6,7,8,9,10,11
2 5,,"6 . 34 12 , 7 6",26 . 05,,"87 , 24",1089 . 1,,,A +,,
2 6 1 . 3 9,2 . 44,"5 , 74 10 , 06",29 . 87,,8 7 . 50,8 7 1 . 5,,,. .D,,
"27  3 , 19",5 . 25,5 . 05 8 . 52,30 .88,,86 . 23,803 . 0,,,. .,,
"28 4 , 22",6 . 94,4 . 4 6 7 . 31,31.20,,85 . 72,780 . 0,,,I I,,
29  4 . 9 9,7.96,"3 . 7 6  6 , 01",32 . 3 5,,86 . 03,742 . 0,A,,+ C +,,D
This should be :,mol/ 100 mol of,solu te--comp il er .,,,,,,,,,
The solid phases are :  A,,= Na2HP04 · 12H20;,B • Na2S04 • lOH20 ;,,,,,,,,
C c NaN03 · Na2so4 · H2,,; D = NaNo3 .,,,,,,,,,
This is an obvious,error :,the compiler suggests,that,,the correc t,,phases are A,,,+,
.  The comp iler has,calculated,the f ollowing values,,from,the data,,in Part,,1 .,,
soln .,Na2so,N4 a2HP04,NaN03,,H2o,,,,,,
no .,mol /kg,mol /kg,mol/kg,,mass%,,,,,,
1,,1 . 3 7 0 . 68,----,,77. 4 1,,,,,,
2,,"1 , 30 0 . 64",0 . 44,,7 6 . 20,,,,,,
3,,1 . 25 0 . 64,0 . 7 1,,7 5 . 15,,,,,,
4,,"1.27 0 , 65",0 . 9 0,,74 . 10,,,,,,
5,,1 . 2 1 0 . 67,1 . 46,,7 1.90,,,,,,
6,,1 . 25 0 . 67,1 . 95,,"69 , 50",,,,,,
7,,1 . 26 0 . 68,2 . 50,,67.20,,,,,,
8,,1 . 18 0.65,3.18,,65 . 3 0,,,,,,
9,,1.12 0 . 67,3 .8 0,,63 . 40,,,,,,
10,,"1 . 00 0 , 62",4 . 44,,62 . 20,,,,,,
11,,"0 , 7 5 0.52",5 . 27,,61 . 40,,,,,,
12,,0 . 60 0.4 7,5.72,,61 . 00,,,,,,
13,,"0 , 60 0 , 4 5",6 . 4 6,,58 . 9 0,,,,,,
14,,1 . 67 ----,4 . 16,,62 .8 2,,,,,,
15,,1 . 55 0 . 14,3 . 97,,63 . 38,,,,,,
16,,1.56 0 . 3 0,3.81,,"62 , 92",,,,,,
17,,1.29 0 . 44,3 . 64,,64 . 31,,,,,,
18,,"1 . 22 0 , 59",3 . 33,,64 . 92,,,,,,
19,,1.21 0.61,3 . 27,,65 . 04,,,,,,
20,,"1 , 18 0.65",3 . 18,,"65 , 3 0",,,,,,
21,,"0 , 69 ----",10 . 05,,51.23,,,,,,
22,,"0 , 64 0 , 23",8 . 09,,"5 5 , 20",,,,,,
23,,"0 , 62 0 . 38",7 . 22,,56 . 94,,,,,,
24 25,,"0--, 6--0 0.45 0 , 66",6 . 46 4.53,,58 . 90  67 . 61,,,,,,
26,,"0 . 16 0 , 64",5 . 58,,"63 , 00",,,,,,
27,,"0 , 37 0 . 58",5 . 97,,60 . 8 8,,,,,,
28,,"0 , 4 9 0 . 52",6.10,,60 . 12,,,,,,
29,,"0 , 60 0. 45",6.46,,58 . 90,,,,,,
