0,1,2,3,4,5,6,7,8,9,10,11,12
,1.8,0.38,9.34,1.04,11.06,1.04,77.80,+6.4,A +,B +,,C
,1.5,0.30,8.06,0.86,9.54,0.86,80.90,-4.1,A +,B +,,D
1.0,12.6,2.84,6.23,o .73,7.37,0.73,73.8,-8.0,B +,C +,,D
,40.0,13.48,4.86,0.85,5.74,0. a s,49.4,+8.0,C +,F +,,G
,32.8,3.41,4.20,0.62,5.0,0.63,58.00,-6.0,C +,E +,,F
,28.4,0.50,8.98,1.40,10.62,1.40,55.60,-18.0,C +,D +,,E
,1.2,0.28,21.30,2.67,8.4,0.89,69.10,+ 19.4,A +,B +,,C
,1.4,0.29,14.34,1.58,5.66,0.52,78.60,-5.5,A +,B +,,D
2.0,24.5,6.76,10.90,1.57,4.3,0.52,60.30,-8.8,B +,C +,,E
,32.0,9.68,9.32,1.47,3.68,0.49,s s . oo,-7.0,C +,E +,,F
,41.0,12.88,8.65,1.41,3.35,0.46,53.00,+9.6,C +,F +,,G
,24.6,6.72,10.40,1.48,4.1,0.49,60.90,-16.00,B +,D +,,E
3.0,11.73,3.17,22.47,3.17,4.2,0.50,61.60,+26. S,A +,B +,,C
,6.52,1.45,12.48,1.45,6.5,0.64,74.50,-8.0,A +,B +,,D
