0,1,2,3,4,5,6,7,8,9,10
----,----,----,15.1100.0,,1.48,84.9,3745,,A,
8.8,56.8,0.91,7.043.2,,0.69,84.2,3484,,II,
16.8,100.0,1.76,---- ----,,----,83.2,3184,A,+,B
15.3,70.9,1.70,6.629.1,,0.70,78.1,2309,,B,
13.3,50.8,1.58,13.549.2,,1.54,73.2,1782,,II,
11.4,36.4,1.46,20.663.6,,2.52,68.0,1396,,II,
9.1,23.8,1.30,30.376.2,,4.16,60.6,1015,B,+,C
6.9,18.9,0.96,31.081. l,,4.16,62.1,1084,,C,
3.3,9.5,0.45,32.890.5,,4.28,63.9,1175,,II,
----,----,----,34.6100.0,,4.41,65.4,---- d,,II,
,,,t emp .  • o•c,,,,,,,
18.4,100.0,1.96,---- ----,,----,81.6,2833,,B,
16.9,73.4,1.92,6.426.6,,0.10,76.7,2127,,,
16.06,65.0,1.86,9.0235.0,,1.00,74.92,1941,,,
14.7,54.0,1.77,13.146.0,,1.51,72.2,1697,,,
13.11,42.6,1.66,18.4657.4,,2.25,68.43,1420,,,
12.9,"40,l",1.67,20.059.9,,2.48,67.1,1333,,,
10.53,28.5,1.48,27.4771.5,,3.69,62.0,1077,,,
10.0,25.1,1.48,31.174.9,,4.40,58.9,944,,,
9.64,24.1,1.43,31.6975.9,,4.50,58.67,937,B,,C
9.8,24.3,1.46,31.715.7,,4.51,58.5,931,,II,
6.7,17.4,0.97,33.282.8,,4.60,60.1,999,,C,
5.8,15.3,o .83,33.584.7,,4.60,60.7,1024,,II,
3.2,8.8,o .45,34.891.2,,4.68,62.0,1083,,II,
"-2--,-62","- 7--,3-","-0-,-36-",34.8436.4100.092.7,,4.644.77,62.5463.6,11091150,,II  II,
