0,1,2,3,4
30.0,106.40,106.45,51.55,8.86
,106.50,,51.57,8.87
31.0,108.99,108.93,52.15,9.08
,108.87,,52.12,9.07
33.0,114.38,114.31,53.35,9.53
,114.23,,53.32,9.52
34.0,117.08,117.14,53.93,9.76
,117.20,,53.96,9.76
35.0,120.42,120.44,54.63,10.03
,120.45,,54.64,10.04
37.0,126.82,126.76,55.91,10.57
,126.70,,55.89,10.56
40.0,138.22,138.16,58.02,11.52
,138.10,,58.00,11.51
40.2,139.12,139.06,58.18,11.59
,139.00,,58.16,11.58
40.55,140.95,140.83,SB . SO,11.74
,140.70,,58.45,11.72
41.0,142.50,142.55,58.76,11.87
,142.60,,58.78,11.88
42.0,143.80,143.83,58.98,11.98
,143.85,,58.99,11.99
45.0,148.19,148.20,59.71,12.35
,148.20,,59.71,12.35
50.0,158.55,158.61,61.32,13.21
,158.67,,61.34,13.22
52.0,163.91,163.84,62.11,13.66
,163.76,,62.09,13.64
55.0,170.93,170.85,63.09,14.24
,170.77,,63.07,14.23
56.0,173.15,173.23,63.39,14.43
,173.30,,63.41,14.44
57.0,175.87,175.81,63.75,14.65
,175.74,,63.73,14.64
58.0,177.33,177.24,63.94,14.78
,177.14,,63.92,14.76
60.0,179.31,179.33,64.20,14.94
,179.34,,64.20,14.94
62.0,181.20,181.35,64.44,15.10
,181.50,,64.48,15.12
65.0,185.06,184.99,64.92,15.42
,184.92,,64.90,15.41
69.0,190.17,190.24,65.54,15.84
,190.31,,65.55,15.86
80.0,207.08,207.29,67.44,17.25
,207.50,,67.48,17.29
90.0,225.17,225.31,69.25,18.76
,225.45,,69.27,18.78
99.1,246.20,146.56,71.11,20.51
