0,1,2,3,4,5,6,7,8,9
----,----,,7.5906,16.5095,1.13,83.4905,,A,
0.6889,2.0599,0.11,6.9682,15.1558,1.05,82.7843,,II,
1.3413,4.0042,0.22,6.1820,13.4459,0.93,82.5499,A,+,B
1.4378,4.2932,0.24,5.4722,11.9020,0.81,83.8048,,B,
2.0000,5.9718,0.33,5.5432,9.8815,0.67,84.1467,,II,
3.5883,10.7143,0.61,3.2616,7.0941,0.49,82.1916,,II,
4.6607,13.9164,0.81,2.7395,5.9584,0.42,80.1252,,II,
6.8621,20.4895,1.27,1.6339,3.5537,0.26,75.9568,,II,
8.1070,24.2020,1.56,1.3371,2.9081,0.22,72.8899,,II,
8.8433,26.4033,1.71,0.5414,1.1835,0.09,72.4112,,II,
10.7585,32.1239,2.29,0.8320,1.8098,0.15,66.0663,B,+,C
11.9900,35.8011,2.65,0.2833,0.6163,0.05,63.5826,,C,
13.7434,41.0365,3.30,0.1879,0.4087,0.04,58.5548,,II,
17.3498,51.8049,5.08,0.0926,0.2014,0.02,47.9937,,II,
21.4349,64.0026,8.37,------,------,----,35.9974,,II,
