0,1,2,3,4,5,6,7,8,9,8_phase
no .,b mass% mol% a,,mass%,mol%a,a mass% mol%a,mol%,,phase,,
1,15.0766.72,,7.52,33.28,---- ----,2767.3,,A +,,B
2,14.0354.40,,6.92,26.81,2.8518.79,2325.8,,,,
3,13.5448.19,,6.90,24.54,4.5627.27,2104.8,,,,
4,13.3945.12,,6.86,23.16,5.6531.72,1969.9,,,,
5,12.3236.13,,6.83,19.99,8.9543.88,1662.5,,,,
6,12.3532.48,,6.63,17.44,11.5250.08,1234.5,,,,
7,12.0228.47,,6.49,15.29,14.2956.24,1248.9,,,,
8,10.9623.49,,6.07,13.07,17.6763.44,1106.7,,A + +,C,
9,10.0620.67,,6.04,10.91,20.5068.42,1027.3,,,,
10,8.8416.53,,5.50,10.26,23.4673.21,901.9,,11,,C
11,6.5312.05,,4.55,8.41,27.5279.54,905.1,,,,II
12,5.25 ' 8.95,,4.10,6.97,29.6584.08,817.2,,,,II
13,4.997.96,,3.76,6.01,32.3586.03,742.0,,A + C +,D,
14,14.9428.67,,----,----,22.2471.33,952.6,,B +,,C
15,13.9827.45,,1.25,2.45,21.3970.10,980.5,,,,II
16,13.9927.57,,2.72,5.36,20.3767.07,950.4,,,,II
17,11.8124.9,,4.00,8.16,19.8867.75,1035.0,,,,II
18,11.2823.8,,5.43,11.46,18.3764.74,1080.5,,,,II
19,11.2223.87,,5.65,12.03,18.0964.10,1093.0,,,,II
2021,10.995.0223.616.42,,6--.0-4-,12.97 -----,17.6743.7593.5863.42,1106.7517.5,,A + C  B + +,C,D
22,5.017.12,,1.83,2.60,37.9690.28,619.9,,,,II
23,5.047.58,,3.06,4.59,34.9687.83,677.7,,,,II
