0,1,2,3,4,5
67.9,12.18,0.1,0.04,32.0,II
60.2,8.68,0,0,39.8,II
,,temp . ..,50 ° c.,,
0,0.0,29.6,5.63,70.4,A
5.6,0.47,27.3,5.45,67.1,II
9.2,0.78,23.8,4.76,67.0,II
14.0,1.24,21.5,4.47,64.5,II
39.1,4.49,11.0,2.95,49.9,II
59.8,9.61,4.5,1.69,35.7,II
69.5,13.71,1.4,0.64,29.1,C
70.0,13.39,0,0,30.0,II
,,temp .,""" 75 ° c .",,
0,0.0,33.2,6.66,66.8,A
5.9,0.52,29.6,6.15,64.5,II
10.0,0.91,27.1,5.77,62.9,II
13.7,1.28,25.0,5.46,61.3,II
20.2,2.02,22.4,5.23,55.4,II
47.3,6.38,10.2,3.21,42.5,II
60.1,9.85,4.9,1.87,35.0,II
69.4,13.93,2.0,0.93,28.6,II
73.9,16.25,0,0,26.1,C
