- 0.5,Unnamed: 0,16.5,0.606,A,Unnamed: 1,38.7,66.9,6.20,C
- 2.4,,23.1,0.921,A,,48.5,68.4,6.64,C
- 3.0,,27.5,1.16,A,,49.7,68.5,6.67,C
-10.0,,36.5,1. 76,A,,51.9,68.9,6.79,C
-21.4,,46.4,2.65,A,,,,,
-28.2,,51.8,3.30,A,,53.0,70.0,7.15,D
,,,,,,57.7,71.8,7.81,D
-33.5,,53.8,3.57,A +,B,62.2,73.2,8.37,D
,,,,,,67.3,74.0,8.73,D
- 9.3,,55.8,3.87,B,,74.1,76.3,9.87,D
4.3,,58.0,4.23,B,,,,,
4.9,,58.9,4.39,B,,80.0,79.2,11.68,E
17.9,,60.9,4.78,B,,94.0,81. 7,13.69,E
23.3,,63.1,5.24,B,,108.0,85.1,17.51,E
28.9,,63.7,5.38,B,,119.5,88.1,22.7,E
37.6,,66.7,6.14,B,,,,,
