-0.36625,0.10646,0.78746,""""
-0.46376,0.13558,1.0007,""""
-0.57544,0.16926,1.2462,""""
-0.68650,0.20277,1.4892,""""
-0.78054,0.23141,1.696,""""
-0.96027,0.28624,2.0895,""""
-1.17212,0.3511,2.5509,""""
-1. 34975,0.40548,2.9343,""""
-1. 61013,0.4856,3.4939,""""
-1.69275,0.51103,3.6702,""""
-1.85324,0.56055,4.0115,""""
-2.06669,0.62645,4.4621,""""
-2.25146,0.68415,4.8531,""""
-2.55450,0.77852,5.4858,""""
-2.86918,0.87671,6.1353,""""
-3.19489,0.98203,6.822,""""
-3.78169,1.1624,7.9751,""""
-4.04788,1.2455,8.4968,""""
