291,±,1,4055,±.1,20,503,±.2,5
298,±,2,3225,±,50,516,±,6
307,±,2,4200,±,100,547,±,10
322,±,3,3270,±,40,610,±,32
331,±,2,4200,±,35,600,±,6
350,±,1,4000,±,65,462,±,10
350,±,1,6000,±,65,570,±,10
374,±,4,3500,±,65,234,±,10
379,±,2,3950,±,100,137,±,6
376,±,2,4000,±,100,194,±,6
389,±,1,4055,±,15,233,±,8
389,±,1,3995,±,20,227,±,8
381,±,2,4000,±,65,331,±,10
378,±,2,4500,±,65,337,±,10
381,±,2,5000,±,65,320,±,10
381,±,2,5500,±,65,350,±,10
382,±,2,6000,±,65,486,±,10
386,±,2,4050,±,100,89,±,6
388,±,2,4600,±,100,151,±,6
401,±,1,4305,±,20,117,±,1
408,±,2,4925,±,40,129,±,1
401,±,3,5100,±,100,170,±,1
401,±,2,5000,±,65,182,±,1
405,±,1,5375,±,30,214,±,1
405,±,1,6070,±,25,406,±,6
420,±,2,3840,±,60,46,±,1
422,±,1,4035,±,50,90,±,1
421,±,2,4435,±,50,64,±,1
440,±,2,4970,±,65,92,±,1
430,±,1,5060,±,45,100,±,1
431,±,2,5500,±,65,153,±,2
434,±,2,6000,±,130,315,±,5
440,±,1,3455,±,30,77,±,1
448,±,2,5990,±,105,299,±,2
460,±,2,3500,±,80,56,±,1
460,±,1,3500,±,65,81,±,1
455,±,2,4010,±,75,101,±,1
469,±,2,4520,±,65,80,±,1
468,±,2,5060,±,45,108,±,2
463,±,2,5490,±,75,139,±,4
462,±,2,6000,±,115,126,±,4
461,±,2,6050,±,70,184,±,6
497,±,1,3465,±,50,113,±,1
497,±,1,4065,±,25,121,±,1
502,±,1,4465,±,40,145,±,1
501,±,2,5045,±,30,148,±,1
500,±,2,5425,±,40,138,±,2
503,±,2,5980,±,95,178,±,2
550,±,1,3530,±,45,115,±,1
550,±,1,4050,±,35,100,±,1
551,±,2,4575,±,35,133,±,1
551,±,1,5050,±,40,165,±,1
550,±,1,5510,±,35,172,±,2
550,±,1,5980,±,40,159,±,2
