0,1,2,3,4,5,6,7,8
mass%,mass%,mass%,mol/ kg mass%,,mol /kg,mass%,mol/kg,mass%
,,,temp = 30 ° C .,,,,,
10 . 2,12 . 9,24 . 74,1 . 24 1 . 95,,0 . 24,----,----,7 3 . 31
12 . 5,14 . 21,27 . 2 5,1 . 45  3 . 66,,0 . 4 7,----,----,69.09
17 . 5,17 . 22,33 . 02,2 . 03 7 . 23,,1 . 08,----,----,59 . 7 5
24 . 4,22 . 0,42 . 19,3.34 1 1 . 44,,2 . 20,----,----,4 6 . 37
7 . 1 5,10 . 8,20 . 66,0 . 9 6 ----,,----,0 . 04,o . oo,7 9 . 3 0
"8 , 4",14 . 6,24 . 27,1 . 22  ----,,----,2 . 68,0 . 19,7 3.04
9 . 3 5,19 . 5,27 . 02,1 . 52 ----,,----,7 . 4 7,0 . 58,65 . 51
9 . 5,23 . 8,27 . 4 5,1 . 7 0  ----,,----,13 . 10,1 . 12,59 .4 5
10 . 37,3 0 . 8,29 . 9 6,2 . 24 ----,,----,20 . 95,2 . 18,49 . 08
11 . 3,3 7 .8,3 2 . 65,3 . 10 ----,,----,28 . 68,3 . 78,38 . 67
11 . 9,42 . 0,34 . 3 9,3 . 9 0  ----,,----,33 . 23,5.24,3 2 . 38
10 . 3,51 . 0,29 . 7 6,5 . 14 ----,,----,49 . 00,1 1 .  7 6,21 . 2 5
6 . 7 6,59 . 9,19 . 53,6 . 07 ----,,----,68 . 64,29 . 62,11.82
,,,temp = 40 ° C .,,,,,
10 . 8,14 . 2,27 . 23,1 . 4 1  1 . 64,,0 . 2 1,----,----,7 1 . 13
13 . 3,15 . 6,2 9.9 1,1 . 65 3 . 51,,0 . 47,----,----,66 . 57
"18 , 1","18 , 5",35 . 48,2 . 2 6  6 . 94,,1 . 07,----,----,57 . 59
24 . 5,22 . 6,43 . 34,3 . 51 11 . 3 2,,2 . 22,----,----,4 5 . 34
8 . 43,12 . 7,24 . 3 5,1 . 18 o . oo,,0 . 00,----,----,7 5 . 65
"9 , 4",16 . 15,27 . 16,1 . 42  ----,,----,2 . 74,0 . 20,7 0 . 10
10 . 45,2 0 . 95,3 0 . 20,1 .  7 7  ----,,----,7 . 18,0 . 59,62 . 62
10 . 5,25 . 0,3 0.34,1. 96  ----,,----,12 . 67,1 . 13,5 6 . 99
11 . 4,31 .8,32 . 94,2 . 58 ----,,----,20 . 19,2 . 20,4 6 . 87
12 . 1,38 . 3,34 . 9 6,3 . 44 ----,,----,27 . 7 1,3 . 7 9,3 7 . 33
12.6,42 . 4,3 6 . 4 1,4 . 28 ----,,----,32 . 33,5 . 28,3 1 . 26
8 . 68,59 . 3,22 . 16,7 . 00 ----,,----,66 . 20,2 9.02,11 . 64
,,,temp = 50° c .,,,,,
11 . 55,1 5 .8,3 0.3 0,1 . 63 1 . 27,,0 . 16,----,----,68 . 43
14 . 3,17 . 25,33 . 08,1 . 9 1 3 . 40,,0 . 48,----,----,63 . 52
18 . 7,19 . 7,3 7 . 7 8,2 . 50 6. 7 0,,1 . 08,----,----,55 . 52
9 . 7 7,14 . 8,28 . 23,1 . 4 5 ----,,----,0 . 11,0.01,7 1 . 66
10 . 5,17 . 7 5,3 0 . 34,1 .  66 ----,,----,2 . 66,0 . 20,67 . 00
11 . 56,22.4,33 .40,2 . 05 ----,,----,6 . 88,0 . 59,5 9 . 7 2
11.69,2 6 . 2 5,33 . 78,2 . 28 ----,,----,11 . 92,1 . 12,54 . 3 0
12 .4,3 2 . 7,3 5.83,2 . 94 ----,,----,19 . 3 5,2.20,44 .82
13 . 1,38 . 9,3 7 .85,3 . 9 0 ----,,----,2 6 . 4 5,3 . 7 8,3 5 . 69
13 . 42,42 . 6,38 . 7 8,4 . 7 0  ----,,----,3 0 . 90,5 . 20,30 . 23
8 . 68,59 . 3,2 5 . 08,8 . 3 0 ----,,----,63 . 8 2,29 . 34,11 . 10
