0,1,2,3,4,5,6
20 . 3,1 . 87,0,0,7 9 . 7,"KH ;,0",
20 . 8,1 . 93,0,0,7 9 . 2,2,4.0
17 . 6,1 . 61,2 . 2,o.3 7,80 . 2,"""",
16 . 6,1 . 55,4 . 8,0 . 82,7 8 . 6,"""",
13 . 5,1 . 21,6 . 0,1 . 00,80 . 7,"""",
13 . 3,1 . 2 5,8 . 3,1 . 42,7 8 . 4,"""",
11 . 0,1 . 05,12 . 0,2 . 09,7 7  . o,"""",
8.7,0.83,14 . 0,2 .43,77 . 3,"""",
7 . 5,0 . 7 1,15 . 4,2 . 68,7 7  . 1,"""",
7 . 0,0 . 69,18 . 6,3 . 3 6,74 . 4,"""",
7.1,o .  7 2,2 0 . 2,3 . 7 3,7 2 . 7,I I,
5 . 7,0 . 57,20 . 4,3 . 7 0,73 . 9,"""",
5 . 5,0 . 57,23 . 4,"4 , 41",7 1 . 1,"""",
"5 , 0",0 . 52,23.8,4 . 48,71 . 2,KHl0 + KCl,
"5 , 6",0 . 59,"24 , 9","4 , 80","69 , 5",4 KCl,
"3 , 0",0 . 31,2 5 . 3,4 . 73,7 1 . 7,I I,
1 . 5,0 . 15,2 5 . 5,4 . 69,7 3 . 0,I I,
0,0,2 6 . 6,4 . 86,73.4,I I,
0,0,2 6 .4,4 . 81,7 3 . 6,"""",
