0,1,2,3,4,5,6,7
t l ° C,mass%,mass%,mass%,t l ° C,mass%,mass%,mass%
10,"4 , 65",----,"9 5 , 35",2 0,7 . 73,----,92 . 2 7
10,2 . 43,8 . 10,"89 , 47",2 0,"3 , 20","7 , 98",88.82
10,1.06,15 . 75,"83 , 19",20,1 . 3 0,1 6 . 7 5,81 . 95
10,"0 , 50",24 . 10,"7 5 , 40",20,0 . 7 5,2 6 . 40,7 2 .85
10,"0 ,20","33,30",6 6 . 50,2 0,0.17,32 .46,67.37
31 . 5,"10 , 74",----,"8 9 , 26",40,15 . 10,----,"84,90"
31 . 5,"6 , 00","6 , 57","8 7 , 43",40,8 .80,5 . 95,85 . 25
3 1 . 5,"3 , 00",13 . 70,"83 , 3 0",40,"4 , 90",14 . 10,81 . 00
3 1 . 5,"0 , 62",24 . 8 7,"7 4 , 50",40,2 . 25,23 . 50,74 . 25
31 . 5,0 . 34,34.40,"65 , 0 6",40,0.90,34 . 10,65.00
31 . 5,"0,19","42 , 60","57 , 20",40,"0 , 27",44.50,55 . 23
31.5,"0 , 07","52 , 00","47 , 93",40,"0 , 09","52 , 00","47 , 91"
