0,1,2,3,4,5,6,7,8
1 ----2 ----,,--------,"56 , 28 54 . 21",,22 . 95 21 . 10,,--------,----
"3 4 4 , 09  5 , 17",,0 . 45  0 . 55,"53 , 32 50 , 91",,"22 , 32 20 .66",,--------,------------
"5 5 , 32",,0 . 56,50 . 48,,"20 , 3 5",,----,----
"6 5 , 38",,0 . 58,"51 , 60",,21 . 38,,----,----
"7 5 , 53",,0 . 58,50 . 11,,20 . 13,,----,----
8 11 . 21,,1 . 14,42 . 57,,16 . 4 1,,----,----
"9 27 , 03",,2 . 84,28 . 22,,11 . 24,,----,----
10 28 . 47,,3 . 00,"26 ,89",,10 . 74,,----,----
"11 28 , 74",,3 . 04,26 .84,,"10 , 77",,----,----
"12 3 5 , 23",,3 . 84,21 . 65,,8 . 95,,___ ..,----
"13 40 , 40",,4 . 51,17 .4 5,,"7 , 38",,----,----
14 43 . 54,,4 . 93,"14 , 90",,6 . 3 9,,----,----
15  --------16 4 5 . 43 45 . 55,,"5 . 23 5 , 22","13 , 65 13 . 41",,"5 , 94 5 . 82",,--------,
17 46 .21,,5 . 31,12 .86,,"5 , 60",,----,----
18 49 . 47,,"5 ,84",10 . 65,,"4 , 76",,----,----
"19 52 , 16",,6 .27,8 . 68,,"3 , 95",,----,----
20 52 . 91,,6 . 41,"8 , 22",,3 . 77,,----,----
