0,1,2,3,4,5,6,7,8,9,10,11
38.6,2.54,17 . 9 7,,20 . 63,o . oo,o . oo,-8 . 6,,A + C,,
32 . 0,2 . 11,14 . 90,,17 . 10,6 . 8,0.92,-8 . 4,,A + C,,
20 . 4,1 . 29,9 . 50,,10 . 90,15 . 92,2 . 08,-8 . 4,,A + C,,
"9 , 8",0 . 63,4 . 56,,5 . 24,2 7 . 06,3 . 57,-9 . 4,,A + C,,
21 . 25,1 . 3 5,9 . 89,,11 . 36,15 . 0,1 . 96,-8 . 0,,A + C,,
16 . 0,1 . 01,7 . 45,,8 . 55,20 . 0,2.60,-9 . 0,,A + C,,
6.8,0 . 4 5,3 . 16,,3 . 63,32 . 0,4 . 3 6,-11 . 0,,A + C,,
6 . 0,0 . 4 3,2 . 7 9,,3 . 21,3 7 . 6,5 . 55,+o.5,A,+ B +,,C
o . o,o . oo,o . o,,o . o,33 . 5,4 . 20,-8 . 8,,A +  B,,
2 . 4,0 . 17,1.12,,1 . 28,40 . 0,5 . 79,-12.0,,A + B,,
8 . 0,0 . 64,3. 72,,4 . 28,41 . 4,6 . 82,19 . 2,,B + C,,
8.0,0 . 7 0,3 . 72,,4 . 28,46.0,8 . 3 3,"25 , 2",,B + C,,
9.8,0.96,4 . 56,,5 . 24,48 . 708,9 . 78,35 . 0,B,+ C +,,D
61 . 0,6.3 3,28 . 40,,32 . 60,o . o,o.o,3 9 . 0,,C + D,,
56 . 0,5 . 72,26 . 07,,29 . 93,4.4,0 . 92,45 . 6,,C + D,,
48 . 0,4 . 67,22 . 34,,25.65,10 . 4,2 . 08,48 . 3,,C + D,,
36.0,3 . 25,16 .  7 6,,19 . 24,19 . 2,"3 , 57",44 . 6,,C + D,,
28 . 0,2.62,13 . 04,,14 . 96,28 . 8,5 . 55,50 . 3,,C + D,,
