0,1,2,3,4
30 . 00,106 . 40,10 6 . 45,51 . 55,8 .8 6
,106 . 50,,51 . 57,8 .87
31 . 00,108 . 9 9,108 . 93,52 . 1 5,9 . 08
,108 . 87,,52 . 12,9 . 07
33 . 00,114 . 38,114 . 31,53 . 3 5,"9 , 53"
,114 . 23,,53 . 32,9 . 52
34 . 00,117 . 08,11 7  . 14,53 . 93,9 . 7 6
,117 . 20,,53 . 9 6,9 . 7 6
3 5 . 00,120 . 42,120 .44,54 . 63,10 . 03
,120 . 45,,54 . 64,10 . 04
37 . 00,126 . 82,126 . 7 6,55 . 91,10 . 57
,126 . 7 0,,5 5 .8 9,10 . 56
40 . 00,138 . 22,138 . 1 6,58 . 02,11 . 52
,138 . 10,,58 . 00,11 . 51
40 . 20,13 9  . 12,1 39 . 06,58 . 18,11 . 59
,1 39 . 00,,58 . 16,11 . 58
4 0 . 55,140 . 95,140 . 83,SB . SO,11 . 74
,140 . 7 0,,58 . 45,11 . 7 2
41 . 00,142 . 50,142 . 5 5,58 . 7 6,11 .87
,142 . 60,,58 . 78,11 .88
42 . 00,143 . 80,143 . 83,58 . 9 8,11 . 9 8
,143 . 85,,58 . 99,11 . 9 9
45 . 00,148 . 19,148 . 20,59 . 7 1,12 . 3 5
,148 . 20,,59 . 71,12 . 3 5
50 . 00,158 . 55,158.61,61 . 32,13 . 21
,1 58 . 67,,61 . 34,13 . 22
52 . 00,163 . 9 1,163 . 84,"62 , 11",13 . 6 6
,163 . 7 6,,62 . 09,13 . 64
55 . 00,17 0 . 93,1 7 0 . 85,"63 , 09",14 . 24
,170 .  7 7,,63 . 07,14 . 23
56 . 00,17 3 . 1 5,173 . 23,63 . 39,14 . 43
,17 3 . 30,,"63 , 4 1",14 . 44
57 . 00,1 7 5 . 87,17 5 . 81,63 . 7 5,14 . 65
,17 5 . 74,,"63 , 73",14 . 64
58 . 00,17 7 . 33,17 7  . 24,"63 , 94",14 . 78
,17 7 . 14,,"63 , 92",14 . 7 6
60 . 0,17 9 . 31,17 9 . 33,64 . 20,14 . 94
,"17 9 , 34",,64 . 20,14 . 94
62 . 0,181 . 20,181 . 3 5,64 . 44,1 5 . 10
,181 . 50,,64 . 48,1 5 . 12
65 . 0,185 . 06,184 . 9 9,64 . 92,1 5 . 42
,184 . 92,,64 . 90,1 5 . 41
69 . 0,1 90 . 1 7,190 . 24,"65 , 54",15 . 84
,190 . 3 1,,65 . 55,1 5 . 8 6
80 . 0,207 . 08,207 . 2 9,67 . 44,1 7 . 2 5
,207 . 50,,67 . 48,17 . 2 9
90 . 0,22 5 . 1 7,225 . 31,"69 , 2 5",18 . 7 6
,225 . 45,,69 . 2 7,18 . 78
99 . 1,24 6 . 20,146 . 5 6,7 1 . 1 1,20 . 51
