0,1,2,3,4,5,6,7,8,9
0 upper 3 . 2,13 . 85  0 . 04,,19 . 9,86 . 15,"3 , 52",,,76 . 9,332.6
lower 39 . 1,95 . 7  1 . 2 7,,1 . 8,4 . 3,o . 7 1,,,59 . 1,144 . 7
15 upper 2 . 5,"9 , 0  0 , 05",,2 5 . 5,9 1.0,"5 ,83",,,7 2 . 0,"257 , 0"
lower 45 . 5,94 . 8 1 . 99,,2 . 5,"5 , 2",1 . 3 6,,,52 . 0,108 . 0
2 5 up per 4 . 2,14 . 6 0 . 09,,24.5,85 . 4,6 . 52,,,7 1 . 3,232 . 0
lower 50 . 0,97 . 3  2 . 47,,1 . 4,2 . 7,0 .86,,,48 . 6,95 . 0
a.The concentrat ion un i t,is : g /100 g of,,CK/04 + NH,. 3),,,,,
The mo l/kg H2o values were,calculated,,by the,"comp iler ,",,,,,
"Par t 3 ,  Temperatu res  o f",the m iscibility,,gap in,some solu tions,of,,the,,
K,system . 3 Po4-Nu 3 -u 2o,,,,,,,,
H2o a. gram a mass% K/04 mol/kg,gram mass% a.,,NH3,« mo l/kg a,gram,,mass%,,t/ 0 c .
"93 . 5 5  3 5 , 57 1 . 03","6 , 45",,2.45,0 . 88 183,,,61 . 98,,0
"89 . 5  29 . 98 0 , 7 1","10 , 5",,"3 , 52",1 . 04 198 . 5,,,"66 , 50",,0
84 . 3  26 . 55 0 . 58,"15 , 7",,4 . 94,1 . 34 21 7 . 5,,,"68 , 50",,0 . 3
7 8 . 5 23 . 21 0 . 46,2 1 . 5,,6 . 36,1 . 57  23 8 . 2,,,7 0 . 43,,6 . 9
66 . 5  19 . 7 6 0 . 39,3 3 . 2,,9 . 8 2,2 . 42 238 . 1,,,7 0 . 42,,46 . 05
56 . 3  15 . 50 0 . 28,43 . 5 11 . 94,,,2 . 66 264 . 4,,,7 2 . 56,,45 .  7 5
42 . 8  1 1 . 08 0 . 18,56 . 1  14 . 16,,,2 . 81 296 . 2,,,74 . 76,,3 9 . 6
2 5 . 0  5 . 7 7 0 . 08,"7 5,0 17 . 32",,,3 . 06 3 33,,,7 6 . 90,,"14 , 2"
93 . 6  37 . 7 1 1 . 20,"6 , 4",,2 . 58,"1 . 02 148 , 2",,,59.71,,37 . 7
91 . 0  37 . 07 1 . 20,"9 , 0",,3 . 67,1 . 48 145 . 5,,,59.27,,"57 , 2"
8 5 . 0  32 . 32 0 . 93,15 . 0,,5 . 70,I 2 . 06 163,,,61 . 98,,7 0 . 2
78 . 5 2 7 . 84 o .  72,21 . 5,,7 . 62,2 . 46 182,,,64 . 54,,69 . 4
7 1 . 1  23 . 66 0.56,28 . 9,,9 . 62,2 . 8 2 200 . 5,,,66 . 7 2,,52 . 4
60 . 5 18 . 8 5 0 . 40,39 . S  12 . 3 0,,,3 . 28 2 21,,,68 . 85,,44 . 6
50 . 8 14.74 0 . 28,"49 , 2 14 . 28",,,3 . 43 244 . 6,,,70 . 98,,35 . 95
2 9 . 2 7 . 10 0 . 11,7 0 . 8 17 . 20,,,"3 . 2 5  311 , S",,,7 5 . 7 0,,13
