0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2 conea.,,"""2 cone a.",,,mass%,4 mol/kg,,mass% mol/kg,,3 mass%,,4 mo l/kg,,2mass%
,,,,,,,,t emp . a 0 ° C .,,,,,,
9 6.0,,107 . 0,,,5 .  7 7,0 . 62,,50. 6 6  20 . 73,,----,,----,,43.61
90.5,,146 . 0,,,1 1.55,1 . 01,,34 . 66 11 . 48,,----,,----,,53 . 83
86 . 5,,156.0,,,15. 7 7,1 . 31,,27 . 74 8 . 7 5,,----,,----,,56 . 4 9
82 . 2,,17 3 . 0,,,19 . 50,1 . 52,,20.40  6 . 05,,----,,----,,60 . 10
7 9 . 5,,171 . 0,,,22 . 62,1 . 7 6,,17 . 00 5 . 02,,----,,----,,60 . 38
76 . 3,,153 . 0,,,28.01,2.26,,13 . 7 1 4 . 19,,----,,----,,58 . 28
73 . 5,,153 . 0,,,31 . 32,2 . 50,,9 . 7 6  2 . 95,,----,,----,,58.92
70 .8,,160 . 0,,,33 . 59,2 . 61,,5 . 80 1 . 7 0,,----,,----,,60 . 61
68 . 5,,1 53.0,,,37 . 24,2 . 92,,2 . 72 0 . 80,,----,,----,,60.04
6 6 . 5,,152 . 0,,,39 . 6 6,3 . 10,,---- ----,,0 . 07,,0 . 01,,60 . 27
63 . 9,,147.0,,,38 .88,3 . 11,,---- ----,,2 . 25,,0.39,,58 . 87
61 . 0,,104.0,,,4 4.94,4 . 28,,---- ----,,5 . 67,,1 . 17,,4 9 . 39
58 . 5 56 . 0,,82 . 0 97 . 1,,,48.3 1 42 . 70,5 . 35 4 . 3 5,,-------- ---- ----,,9.21 11 . 13,,2 . 21 2 . 4 6,,42 . 48 4 6 . 17
52 . 4,,92 . 0,,,41 . 02,4.42,,---- ----,,15.32,,3 . 58,,43 . 66
50 . 5,,219 . 0,,,23 . 7 9,1 .  7 0,,---- ----,,10.4 5,,1 . 62,,65 . 7 6
48 . 3,,3 63.0,,,15 . 68,0 . 97,,---,,,,,,
39 . 8,,460.0,,,10 . 68,0.63,,----- ---- ----,,8 . 19 9 . 91,,1.09 1 .  27,,7 6.13 7 9.41
33 . 0,,280.0,,,13.05,0 .8 9,,---- ----,,18.32,,2 . 72,,68.63
30 . 0,,260.0,,,12 . 52,0.88,,---- ----,,21 . 07,,3 . 23,,6 6 . 4 1
25.0,,63 . 0,,,23 . 05,4 . 51,,---- ----,,52 . 90,,22 . 4 5,,24.05
24 . 7,,17 2 . 0,,,13 . 64,1 . 18,,---- ----,,3 1 . 93,,5 . 98,,54 . 43
19 . 5,,80.0,,,16 . 28,2.60,,---- ----,,54 . 24,,18 . 28,,29.48
