0,1,2,3,4,5,6,7
(ii) reference to the primary source,where,the,numerical,,information,,is
"reported, In cases when the",primary,source,,,is a less,common,
"periodical or a report document,",,published,,though,of,limited,
"availability, abstract references are",,"also given,",,,,,
"iii l experimental variables,",,,,,,,
(iv) identification of the compiler;,,,,,,,
(v) experimental values as they,appear,in,the,,primary,"source,",
"Whenever available, the· data may",,be given,bolh,,in tabular,,and
"graphical form, If auxiliary",information,,is,,"available,",,the
experimental data are converted also to SI,,,units,,by the compiler.,,
der the general heading of Auxiliary,,"Information,",,,the,essential,
mental details are summarized:,,,,,,,
(vi) experimental method used for the,generation of data;,,,,,,
ii) type of apparatus and procedure employed1,,,,,,,
"iii) source and purity of materials,",,,,,,,
(ix) estimated error;,,,,,,,
(xl references relevant to the generation,,,of experimental,,,data,as
