0,1,2,3,4
"+ pho sphoric  aci d ,",tr i sodium,s a l t,,"E 1 3 ,  E 1 4 , 2 6 - 3 6"
+ pota s s i um hydroxide,,,,"E l 6 8 - E l 7 1 , 1 8 4 - 2 0 2"
+ pota s s i um oxide,,,,"2 6 9 , 2 7 0"
"Phosphor i c  acid , ca l c i um s a l t  ( aqueous )",,,,
+ ca l c i um ch l oride,,,,2 7 1
+ phosphoric  acid,,,,2 6 4 - 2 6 6
"+ phosphoric  acid ,",monopota s s i um,s a l t,,"2 6 4 - 2 6 6 , 2 7 1"
+ pota s s i um ch l oride,,,,2 7 1
"Phos phor ic  acid , coppe r ( 2 + )  s a l t",,,,
+ water,,,,1 4 8
"Phosphoric  acid , copper ( 2 + )  s a l t",( aqueous ),,,
"+ phosphor ic  acid ,",tri sodium,s a l t,,"E 1 2 7 , 1 4 8"
"Phosphor i c  acid , di ammonium sa l t",,,,
+ water,,,,3 1 3
"Phosphoric  acid , diammonium s a l t",( aqueous ),,,
+ ammonium c h l or ide,,,,"1 1 9 ,  1 2 0"
"+ phosphoric  acid ,",di sodium s a l t,,,"1 1 7 ,  1 1 9 ,  1 2 0"
"+ pho sphoric  aci d ,",monoammon ium,s a l t,,"8 6 ,  8 7"
"+ pho sphoric  acid ,",monorubidium,s a l t,,"E 3 0 8 , E 3 0 9 , 3 1 3"
"+ phosphoric  aci d ,",monos od i um,s a l t,,"E5 1 ,  8 6 , 8 7"
+ s od i um ch l oride,,,,"1 1 9 ,  1 2 0"
"Phos phor ic aci d ,  dipotas s i um sa l t",,,,
+ wate r,,,,1 7 2 - 1 7 4
"Phosphori c  acid , dipota s s i um s a l t",( aqueous ),,,
+ phosphoric  acid,,,,1 7 4
"+ phosphoric  acid ,",di sodium s a l t,,,"1 0 8 ,  1 0 9"
"Phos phor ic  aci d ,  d i s odium s a l t",,,,
+ wate r,,,"2 3 ,","E 9 8 -El 0 2 , 1 0 3 - 1 2 6"
"Phosphoric  acid , di sodium s a l t ( aqueous )",,,,
+ ammonium ch l oride,,,,"1 1 9 ,  1 2 0"
+ bor ic  acid,,,,"E 9 8 , 1 1 8"
"+ bor i c  acid , s od i um",s a l t,,,E 9 8
"+ N , N - - 1 , 2 -ethaned i y l bi s ( N- carboxyme thy l ) g l ycine ,",,,,
d i s odium s a l t,,,,"E 9 8 , 1 1 6"
+ hydrogen perox ide,,,,"E 9 8 , 1 0 7 , 1 1 3"
+ methano l,,,,"E 9 8 , E l O l , 1 2 6"
"+ n i t r i c  acid , sodium",s a l t,,"E 9 8 ,","E l O l , 1 1 0 , 1 2 1 - 1 2 3"
"+ perch l or i c  acid ,",d i ammonium,s a l t,,"1 1 7 ,  1 1 9 ,  1 2 0"
+ phosphoric  acid,,,,"2 3 ,  3 7 ,  3 8"
"+ pho sphoric  acid ,",dipota s s i um,s a l t,,"E 9 8 , E l O l , 1 0 8 , 1 0 9"
"+ phosphoric  aci d ,",magne s i um,s a l t,,"E l O l , 1 1 5"
+ 2 -propanone,,"E 9 8 ,","E l O l ,","1 2 4 , 1 2 5 ,  E 1 2 9"
"+ s i l i c i c  acid , sodium",s a l t,,,"E 9 8 , 1 1 4"
+ sodium ch l oride,"E 9 8 ,","E l O l ,",,"1 1 1 ,  1 1 9 ,  1 2 0 ,  1 2 1"
+ sodium hydroxide,,"E l 3 ,","E l 4 ,","1 8 ,  1 9 ,  2 2 ,  3 7 , 3 8"
"+ s u l furic  acid , s odium",s a l t,,,"E 9 8 , 1 1 2 ,  1 2 2 ,  1 2 3"
"Phosphor i c  acid , l i th i um s a l t",,,,
+ water,,,,"E l - E6 , 7"
"Phosphor i c  acid , l i th i um s a l t ( aqueous )",,,,
+ ammoni a,,,,"E 3 , 8"
+ l i thium hydroxide,,,,"E4 , 9 ,  1 0"
+ l i thium oxide,,,,"9 ,  1 0"
+ phosphoric  acid,,,,"E4 , 9 ,  1 0"
"Phos phor ic  acid , magne s i um s a l t",( 1 : 1 )  ( aqueous ),,,
"+ pho sphor i c  acid ,",di sodium s a l t,,,"E l O l , 1 1 5"
"Phos phor ic ac i d ,  monoammonium s a l t",,,,
+ water,,,,5 5 - 5 8
"Phosphoric  acid , mono ammonium s a l t",( aqueous ),,,
+ ammonium ch l or ide,,,,9 0
