0,1,2,3,4,5,6,7,8,9,10,11
----,----,---,---,26 . 23,6 . 08,109 . 41,73 . 77,9 14 . 0,1 . 695,1 . 199,
5 . 94,o .  71,12 . 8 0,10 . 59,24 . 49,6 . 01,"108 , 08",69 . 61,827 . 3,2.547,1 . 231,II
1 1 . 46,1 . 42,25 . 72,20 . 46,21. 7 2,5 . 56,9 9.98,66 . 82,7 95 . 5,"2 , 7 24",1.256,I I
"23, 5 5","3 , 21",57 . 7 9,42 . 81,"15 , 34","4 , 29","7 7 , 19",61 . 11,740 .8,4 .846,1.324,I I
"23 , 64","3 , 22",58 . 03,43 . 04,"15 , 2 5",4 . 2 7,7 6 .80,61 . 11,741 . 69,5 . 390,1 . 331,B
"26 , 00",3.59,64 . 76,47.94,"13 , 7 7","3 , 91","70 , 32",60.23,740.31,6 . 57 4,1 . 350,I I
27.59,3 . 87,69.81,"49 , 08",13.13,3 . 7 9,68.12,5 9 . 28,7 39 . 57,"6 , 19 5",1 . 340,C
31 . 53,4 . 51,81 . 19,60.03,"10 , 23",3 . 00,54 . 04,58 . 24,739 . 37,6.959,1 . 352,I I
39 . 40,5 .84,105 . 18,8 1 .39,4 . 39,1 . 33,24 . 05,56 . 21,7 73 . 78,11 . 35,1 . 397,I I
48 . 03,7.70,138 . 63,"100 , 0",----,----,----,51 . 97,7 2 1 . 35,24 . 40,1.446,I I
