0,1,2,3,4,5,6,7,8,9,10,11
1,20.49,0,7 9 . 51,33 . 94,0,100 . 0,294 5 . 9,1 . 89,0,A,
2,16 . 93,4.13,7 8 . 94,28 . 38,9 . 3 2,7 5 . 27,2651. 5,1 . 57,0 . 52,I I,
3,14 . 96,7 . 45,7 7 . 59,"25 , 52",17 . 1 2,59 . 85,23 45 . 2,1 . 42,0 . 95,"""",
4,13 . 50,10 . 7 5,7 5 . 7 5,23 . 57,2 5 . 28,48 . 2 5,2046 . 7,1 . 31,1 . 40,"""",
5,12 . 23,"13 , 95",73.82,21 . 92,"33 , 67",3 9 . 43,17 98 . 7,1 . 22,1 . 87,I I,
6,1 1 . 3 5,"16 , 78",7 1 . 87,"20 , 89",41 . 60,3 3 . 43,1600 . 4,1 . 16,2 . 31,"""",
7,11 . 00,"18 , 4 6",7 0 . 54,"20 , 62","4 6 , 64",3 0 . 65,148 6 . 7,1 . 15,2 . 59,I I,
8,10 . 17,20 . 7 9,69.04,"19 , 50",53 . 6 6,2 6 . 66,13 6 6 . 7,1 . 15,3 . 00,I I,
9,10.15,22 . 11,67 . 74,"19 , 82","58 , 17",2 5 . 42,128 2 . 2,1 . 10,3 . 23,A +,B
10,10 . 03,22 . 4 5,67 . 52,"19 , 64","59 , 23",24 . 9 1,1267 . 7,1 . 09,3 . 29,I I,
11,7 . 07,23 . 7 9,69 . 14,"13 , 51",61 . 3 1,18 . 06,1336 . 5,o . 7 5,3 . 40,B,
12,5 . 11,"24 , 98",69 . 9 1,9 . 65,63 . 67,13 . 17,13 63 . 7,0 . 54,3 . 53,"""",
13,0,"27 , 49",7 2 . 51,0,67 . 57,0,14 7 9 . 9,0,3 . 7 5,"""",
,,,,,temp . =,50° c.,,,,,
14,29 . 15,0,7 0.8 5,"54 , 4 5",0,100 . 0,183 6 . 7,3 . 02,0,A,
1 5,25 . 63,4 . 21,7 0 . 16,"49 , 7 5",10 . 98,81 . 91,1646 . 5,"2 , 68",0 . 593,I I,
16,2 0 . 82,11 . 68,67 . so,40 . 80,"30 , 82",56 . 9 6,13 9 6 . 1,2 . 27,1 . 7 1,"""",
17,19 . 95,13 . 11,66 . 94,39 . 44,34 . 89,53 . 06,13 95 . 0,2 . 19,1 . 94,"""",
18,18 . 08,1 5 . 4 2,66.50,"3 5 , 9 7",41 . 31,46 . 55,1294 . 0,2 . 00,2 . 29,"""",
19,14 . 7 3,22 . 01,63 . 26,"30 , 7 6",61 . 90,3 3 . 20,107 7 . 4,1 . 7 1,3 . 44,"""",
20,14 . 01,23 . 3 5,62 . 24,29 . 59,66 . 4 1,30 . 83,1041 . 6,1 . 65,3 . 7 7,"""",
21,12 . 32,26 . 3 7,61 . 3 1,2 6 . 53,7 6 . 56,2 5 . 7 4,"939 , 3",1 . 48,4 . 2 5,I I,
