0,1,2,3,4,5,6,7,8
,,,,,,,,solid
,,,a,,,b,a,c
ion%,ion%,mass%,mol/kg,mas s%,mol/ kl,n,mass%,phase
,,,,t emp . = 0° C .,,,,
9 1 . 06,"8 6 , 5 6","2 , 64","0 , 3 0",24 . 88,"5 ,87",818 . 6,72 .47,A
"7 6 , 3 1","64 , 51",8 . 32,"0 , 99",22.11,"5 , 44",658 . 7,"69 , 55",A + B
"63 , 31","44 , 92",13.50,1 . 59,16 . 09,"3 , 91",637 . 9,70 . 3 9,B
"50 , 7 6","26 , 47",19 . 97,2 . 3 9,10 . 50,2.58,568 . 9,"69 , 52",I I
"43 , 09",14 . 98,25 . 54,3 . 13,"6 , 57",1 . 65,502 . 0,"67 , 87",I I
,,,,t emp .  25°a,C .,,,
"93 , 26",89 . 8 6,1 . 97,"0 , 22","25 , 53",6 . 02,828.1,"72 ,48",A
"89 , 73",84.52,3 . 30,"0 , 3 9","26 , 34","6 , 40",732 . 8,7 0 . 3 5,I I
84 . 62,"7 6 , 97",4.92,"0,57",24 . 02,5 . 78,"7 3 9 , 1",7 1.05,I I
"74 , 50",61 . 3 7,9 . 40,1 . 13,21 . 81,"5 , 42",628 . 1,"68 , 7 7",I I
"65 , 45",48 . 1 5,14 . 42,1 . 82,"1 9 , 57",5 . 07,527 . 2,"6 6 , 00",I I
"52 , 67",28 . 95,24 . 99,3 . 46,14 . 87,4 .23,3 7 9 .8,60 . 12,A + B
44 . 71,16 . 87,32 .45,"4 , 6 6","9 , 62",2.84,3 29 . 7,5 7 . 91,B
"3 9 , 7 5",9.65,38 . 46,"5 , 7 7",6 . 00,1 . 84,289.9,5 5 . 53,I I
3 7 . 45,5 . 89,41 . 64,6 . 3 6,"3 , 80",1 . 19,274 . 0,"54 , 55",I I
