0,1,2,3,4,5,6,7
0,0,10 . 32,0 . 81,89 . 68,,A,
3 . 31,0 . 44,8 .  71,0 . 70,8 7 . 98,,I I,
7 .80,1 . 08,7 . 50,0 . 62,8 4 . 70,,I I,
12 . 03,1 .  74,6 . 67,0 . 58,81 . 30,,I I,
17 . 06,2 . 63,6 . 51,0.60,7 6 . 43,,I I,
21.87,3 . 58,6 . 26,0 . 61,71 . 8 7,,I I,
25.67,4 . 45,6 . 2 6,0 . 66,67 . 91,A,+,B
26.01,4 . 53,6 . 46,0 . 67,67 . 53,,I I,
2 6 . 05,4 . 53,6 . 33,0 . 66,67 . 62,,I I,
26 . 46,4.62,6 . 19,0.65,67  . 3 5,,I I,
26 . 08,4 . 54,6 . 30,0 . 66,67 . 62,,I I,
32 . 06,5 . 8 6,3.57,0 . 39,64 . 37,,B,
3 6 . 05,6 . 8 6,2 . 16,0 . 24,61 . 7 9,,I I,
41 . 72,8 . 57,1 . 00,0 . 12,57 . 28,,I I,
4 7 . 90,10 . 82,0,0,52 . 10,,I I,
