0,1,2,3,4,5,6,7
soln .,,,-,,,,sol id b
no .,Na+,+ K,C l,H/0,11 phase 2,0.0,
1,64 . 7 5,"35 , 25",100,-----,7 52 . 69,,A +  B
2,64 . 85,35 . 15,"96 , 20",3 .80,725 . 80,,""""
3,64 .80,3 5 . 20,"93 , 08",6 . 92,697 . 90,,""""
4,65 . 06,34 . 94,"90 , 78",9 . 22,696 . 95,,""""
5,65 . 58,34 . 42,89 .82,10 . 18,694 . 38,,""""
6,66 . 30,33 . 70,88 . 93,11 . 07,"680 , 58",,""""
7,66 . 27,33 . 7 3,88 . 68,11 . 32,660 . 76,,""""
8,68 . 3 1,31 . 69,87.57,12 . 43,657 . 3 1,,""""
9,68 . 40,3 1 . 60,87 . 55,12 . 45,633 . 20,,A + B + C
10,-----,100,"92 ,42",7 . 55,990 . 59,,B + D
11,16 . 72,83 . 28,91 .84,8 . 16,860 . 17,,""""
12,"26 , 80",73 . 20,9 0 . 95,"9 , 05",853 . 50,,""""
13,43 . 45,"56 , 55",89 . 83,10 . 17,7 66 . 98,,""""
14,56 . 15,43 . 8 5,"89 , 16",10 .84,762 . 84,,""""
15,63 . 94,"36 , 05",88 . 19,11 .81,7 16 . 00,,""""
16,83 . 92,16 . 08,-----,100,449 . 24,,C +
17,84 . 43,15 . 57,5 . 93,94 . 07,441 . 34,,""" D"
18,84 . 01,15 . 99,15 . 52,84 . 48,3 94 . 02,,""""
19,84 . 38,15 . 62,23 . 46,76 . 54,446 . 46,,""""
20,83 . 8 7,16 . 13,3 0 . 41,69 . 59,484 . 40,,""""
21,83 . 83,16 . 17,34 . 66,65 . 34,"465 , 7 5",,""""
22,83 . 62,16 . 38,43 . 12,56 .88,"595 , 07",,""""
