0,1,2,3,4,5,6
58,"6 , 34",0 . 50,34 . 51,10 . 3 9,----,----
59,5 . 20,0 .45,41 . 33,13 . 7 7,----,----
60,"6 , 3 1",0 . 58,42 . 83,15 . 01,----,----
61,8 . 07,0 . 78,43 . 4 1,15 . 9 5,----,----
62,54 . 45,6 . 1 6,----,-----,"3 , 94",0 . 9 6
63,50 . 58,5 . 08,----,-----,2 . 56,0 . 55
64,49 . 07,4 . 67,----,-----,1 . 4 7,"0 , 30"
65,4 7 . 6 1,4 . 28,----,-----,----,----
66,43 . 07,3 . 7 6,2 . 99,0 . 98,----,----
67,3 6 . 67,3 . 14,"8 , 32",2 . 69,----,----
68,35.89,3 . 07,9 . 08,2 . 94,----,----
69,33 . 38,2 . 87,11 . 93,3 . 89,----,----
70,32 . 90,3 . 14,"17 , 7 7",6 . 42,----,----
7 1,49 . 86,5 .88,"1 0 , 20",4 . 55,----,----
72,3 7 . 44,4.05,19 . 06,7 . 81,----,----
73,17.70,1 .  7 6,34 . 9 6,13 . 1 6,----,----
74,1 0 . 94,1.07,41 . 18,15 . 33,----,----
7 5,"8 , 94",0 . 88,43 . 30,16 . 1 5,----,----
76,"7 , 83",0 . 7 6,43. 7 6,16 . 11,----,----
7 7,6 . 49,0 . 62,44 . 64,16 . 28,----,----
78,4 . 48,0 . 42,46 . 09,1 6 . 62,----,----
79,o . oo,0 . 00,48 .8 5,17 . 02,----,----
