0,1,2,3,4,5,6,7
no .,mas s%,mo1%,mass%,mol%,mass%,mol%,phasea
1 2,4 7 . 2 5 4 5 . 51,14.62 13 . 78,--------,--------,52 . 7 2  54 .49,83 . 38 8 6 . 22,"Al , A2 (1)  A2"
3,4 7 . 4 9,"17 , 92",1 . 3 7,0 . 74,4 1 . 14,8 1 . 34,Al + BJ
4,4 6 . 18,14 . 44,1 . 73,0 . 3 6,52 . 09,"8 5 , 20","B3 , Al(l)"
5,4 5 . 92,14 . 3 2,1 . 78,0.37,52 . 30,85.3 1,I I  I I
6,4 5 . 90,14 . 28,1 .8 6,"0 , 38","52 , 24",8 5 . 34,A2 + B3
7,4 5 . 7 5,14 . 25,1 .85,0 . 38,52 . 4 0,"85 , 3 7",B3 (1)
,,,,,,,A2 + BJ
8,"4 3 , 20",13 . 37,3 . 7 5,"0 , 7 7",53 . 05,8 5 .86,B3
9,41 . 69,"13 , 65","9 ,04",1 . 97,4 9 . 27,84 . 38,B3
10,41 . 53,13 . 67,"9 , 52",2 . 08,48 . 95,"84 , 2 5",B3 + g1
11,4 1 . 67,13 . 67,"9 , 61",2 . 11,48.72,84 . 13,B3
12,4 1 . 63,"14 , 20",11 . 78,"2 , 6 7",46 . 59,83 . 13,
13,4 1 . 55,14 . 55,"13 , 51",3.14,44 . 94,82 . 31,
14,4 1 . 50,"14 ,78",14.56,3 . 36,"4 3 , 94",81 .86,
15,41 . 70,"15 , 03",15 . 19,"3 , 67","4 3 , 11",81 . 3 0,
1 6,41 . 58,"14 , 98",15 . 23,3 . 67,4 3 . 19,8 1 . 35,
1 7,41 . 56,"1 5 , 03",15 . 4 5,"3 , 70",4 2 . 99,81.27,
18,4 1 .8 7,15.49,1 6 . 54,4 . 06,"41 , 59",80 .45,
19,"42 , 01",15 .81,17 . 44,4 . 39,40 . 55,7 9 .80,
20,4 2 . 12,"15 , 95",17 . 69,4 .4 5,40 . 19,7 9 . 60,
2 1,42 . 44,17 . 08,20 . 78,"5 , 54",3 6 . 78,"7 7  , 38",
