0,1,2,3,4,5,6
22,43 . 34,19 . 93 26 . 7 5,8 . 16,29 . 91,71 . 91 B3 + C,
23,41 . 53,"13 . 67 9 , 52",2 . 08,48 . 95,84.25 B3 + B7,
24,41 . 50,13 . 66 9 . 57,2 . 10,48 . 93,"84 , 24 B3 + B7",
25,"3 7 , 18",11.32 8 . 15,1.65,54 . 67,8 7.03 B7,
26,34 . 3 9,"10 , 51 10 . 99","2 , 23",54.62,8 7 . 26 I I,
27,34.06,11 . 25 16 . 7 0,3 . 66,49.21,85 . 09 I I,
28,3 9.42,16.03 24.17,6 . 52,3 6 . 41,7 7 .45  B7 + g3,
29,41 . 48,17 . 99 25 . 62,7 . 3 7,32.90,74 . 64 B7,
30,41.64,18 . 7 1 27 . 21,8 . 10,31 . 15,7 3 . 19 c c.,
31 32,41.07 40 . 40,1--8-.-3 5 28 . 12 27 . 46,8-.-1-4-,3 1 .47  31 . 48,---- 7 3.51 C b I I,
33,40 . 22,"17.80  27 , 7 9",8 . 16,31.99,74 . 04 cc.,
34,37 . 59,"16 , 57 30 , 03",8.78,32 .39,74.65 I I,
35,37 . 20,16 . 51 30 . 72,9 . 04,32.08,74 . 4 5  I I,
3 6,3 6 . 9 6,16.31 30 . 65,8 . 96,32.3 9,"74 . 43 """,
3 7,41 . 9 0,18 . 06 24.89,7 . 11,32 . 21,74 .83 C3 c.,
38,40 . 33,16 .81  24 . 62,6 .80,3 5.05,76.39 I I,
39,3 6 . 69,14 . 22 24 . 37,"6 , 28","38 , 94","7 9 d , 4 5  C3",
40,34 . 15,13 . 03 25.48,"6 , 45","40 , 37",80.52 I I,
41,34 . 05,"12 , 98 25 . 52",6 . 45,40 .43,80 . 57 I I,
42,34.22,13 . 19 26.02,6 . 69,39.7 6,80.12 C3,
43,34.13,13 . 22 26.39,6 . 82,3 9 . 48,7 9.96 I I,
44,34 . 22,13 . 36 26.90,7 .26,38 .88,7 9 . 38 I I,
45,3 4 . 5 5,13 . 76  27.57,7 . 32,3 7 .88,"78.92 """,
4 6,34.92,14 . 16 28.90,7 .7 7,36 .82,78 . 07 I I,
47,34 . 9 7,b14 . 42 29 . 04,7 . 95,3 5 . 9 9,7 7  . 63 CJ + D,", e"
48,37 . 46,1 6 . 29 29 . 47,a . so,33 . 07,"7 5 , 21 D b",
49,35.84,"14 . 98 28 , 9 5","8 , 03",3 5 . 21,7 6.99 I I,
50,3 5 . 53,14 .81 29 . 09,8.08,3 5.38,77 . 11 CJ + D,
51,3 5 . 51,14 . 76 28.96,7.99,b 3 5 . 53,7 7.25 CJ ( l),
52,3 5 . 16,14 . 54 29.01,7 . 9 6,35 .83,77 . so C3 + D,
53,3 5 . 01,14.49 29.19,8 . 02,3 5 .80,7 7 . 49,
54,34 . 48,14.19 29 . 3 9,8.02,36.13,"7 7 . 78 """,
55,33 . 32,13.18 28.30,7.42,38 . 38,7 9.40,
5 6,32 . 65,"12 .65  27 , 7 5",7 .13,3 9 . 60,8 0 . 22 I I,
57,3 1 . 30,11.98 27.12,"7 , 72","41 , 58",81 . 30 I I,
58,26 . 33,8 . 75 24 . 23,5 . 34,49 .44,85 . 91 I I,
59,20.12,5 . 78 19 . 67,3 .7 5,"60 , 2 1","90.47 """,
60,17.68,4 . 84 18.13,3 . 29,64 . 19,91 .87 I I,
61,14 . 20,3 . 64 15.89,2 . 7 0,69 . 91,"9 3.66 """,
62,11 . 66,"2 , 7 7  13 .37","2 , 10","74 , 97","9 5 , 13 I I",
63,"7, 7 7","1 .7 6  10 , 73",1 . 61,"81 , 50",96 . 63 I I,
64,7 . 14,1 . 60 10 . 45,1 . 56,82 .41,9 6 .84 I I,
65,6 .87,1 . 53 10.17,1 . 51,"82 , 96",96 . 96  I I,
66,6 . 90,1 . 55 11.00,1.65,82 . 10,9 6 . 80 I I,
67,7 . 06,1.60 11 . 44,1 .  72,81 . 50,9 6 . 68 I I,
68,7 . 08,1.62 12 . 12,1.84,80 . 80,9 6 . 54 I I,
69,8 . 49,2 . 15 20 . 3 5,"3 , 4 3",71 . 16,94 . 42 I I,
70,9 . 52,2.65 26 . 8 9,4.95,63 . 59,"92 . 40 """,
7 1,10 . 19,3.10 32 . 90,"6 , 48","56 , 91","9 0 .42 """,
72,"11, 69",4 . 18 42.42,10 . 05,"4 5 ,89",85 . 7 7  i,
73,12 . 50,4.84 46.38,11 . 91,41 . 12,83 . 25 I I,
74,12.68,5 . 01 47.40,12.43,39.92,82 . 56,
75,12.91,5 . 38 4 9 . 90,13 .49,37 . 19,81.13 I I,
7 6,13 . 67,5 .86  50.7 6,14 . 43,3 5 . 57,7 9.7 1 I I,
77,14 . 27,6 . 44 52.78,15 .80,32 . 9 5,7 7 .7 6  I I,
78,14 . 29,"6 . 49 53 , 94",16.2 6,31 . 77,77  . 25 I I,
79,12 . 7 7,"5 . 04 47 ,16",12 . 33,40 .07,82 . 63 E + F,
