0,1,2,3,4,5,6,7,8,9
mass%,mo l%,mass%,mol%,mass%,mol/kg,mass%,mol /kg,mass%,mol/kg phase
11 . 43,6 . 82,"49 , 48","12 , 90",20 . 18,"5 , 22",----,----,56 . 28,24 . 4 1  C
11 . 39,6.89,50 . 32,"13 , 29",20 . 11,"5 , 47",----,----,57 . 48,2 6 . 19 C
"11 , 19",6 . 90,"51 , 52",13.87,19 . 76,5 . 7 6,----,----,59 . 3 5,29 . 00 C
"10 , 89",7 . 02,"54 , 09","15 , 23",19 . 23,"6 , 67",----,----,63 . 21,3 6 .  76 C
"8 . 91 7 , 59",5 . 62 4 . 7 7,"54 , 53 55 ,46","15 , 02 15 , 23",1 5 . 7 3 13 . 40,5 . 22  4 . 53,--------,---- ----,65 . 91 68 . 58,3 6 . 65 38 . 86 F F
6 . 01 3 . 63,3 . 73 2 . 83,"56 , 11 59 , 01","15 , 22 16 . 3 0",10 . 61 6 . 41,"3 . 54 2 , 4 5",--------,---- ----,7 1 . 14 77 . 65,39.80 49 . 73 F F
,,,,,"t emp , = 8 0° C .",,,,
36 . 3 9,14 . 3 0,0 . 140,0 . 024,0 . 32,0 . 03,46.7 3,22.06,----,---- D
"32 , 11",12 . 10,0 . 210,"0 , 034",0 . 48,0 . 05,41 . 09,17 . 58,----,---- D
30 . 64,11 . 42,"0 , 314","0 , 051",o . 7 2,0 . 07,3 9 . 01,16 . 18,----,---- D
3 0 . 28,11 . 2 6,"0 , 373","0 , 061",0.86,o . os,38 . 4 5,15 . 84,----,---- D
29 . 85,11 . 06,"0 , 514","0 , 083",1 . 18,0 . 11,37 . 65,1 5 . 3 9,----,---- D0 . 5
28 . 03,10 . 24,0 . 605,"0 , 096",1 . 3 9,0 . 13,3 5 . 15,13 . 85,----,---- D0 . 5
2 7 . 72,10 . 07,"0 , 617","0 , 098",1 . 4 2,0 . 1 3,34 . 73,13 . 60,----,"---- D0 , 5"
2 5 . 60,9 . 2 5,1 . 65,"0 , 2 6",3 . 81,0 . 3 5,3 0 . 2 5,1 1 . 4 7,----,---- D0 . 5
25 . 24,9 . 12,1 .  79,0 . 28,4 . 13,"0 , 38",29 . 55,11 . 14,----,---- D0.5
