0,1,2,3,4,5,6,7,8,9
,28 . 0,1 7 . 59,1 . 65,31 . 2,19 . 60,2 . 94,A,+,C
,11 . 4,7 . 53,"0 , 67",40 . 0,26 . 42,"3 , 7 7",,C,
,o . o,o .o,o . o,4 6 . 3,31 . 65,4 . 3 7,,I I,
80.0,63 . 8,"38 , 95","3 , 7 6",o . o,o . o,o . o,,A,
,"52 , 3","3 0 , 3 5",3.08,20 . 0,11 . 61,1 . 8 9,A,+,C
,o . o,o . o,o . o,4 5 . 1,31 . 08,4 . 25,,C,
100.0,90 . 0,4 7 . 3 6,"5 , 3 0",o . o,o . o,o . o,,A,
,88 . 0,44 . 24,"5 , 18",10 . 9,5 . 48,1 . 03,A,+,C
,67.1,"3 6 , 3 7","3 , 9 5",1 7 . 4,9 . 4 3,1.64,,C,
,"62 , 1",34 . 3 5,"3 , 6 6",18 . 7,10 . 34,1 . 7 6,,I I,
,3 9 . 0,23 . 4 0,"2 , 3 0",27 . 7,"16 , 62",2 . 61,,I I,
,"23 , 0",14 . 54,1 . 3 5,3 5 . 2,22 . 25,3 . 3 2,,I I,
