0,1,2,3,4,5,6
,a,,,a,,b
mass%,mol/kg,mass%,,mol/kg,,phase
,,"temp ,",=,-2 0° c .,,
"13 , 1",1 .32,2 6 . 6,,12 . 9 7,60 .3,A
"13 , 1",1 .34,27 . 5,,13.61,59 . 4,I I
"10 , 8",1 . 10,"29 , 7",,14 . 67,"59 , 5",I I
"10,4","1,07","30 , 4",,"15,09","59 , 2",t i
"7 , 5",0 . 86,"39 ,3",,21 . 71,"53 , 2",I I
8 . 1,"0 , 8 5","34 , 0",,"1 7 , 26","57 , 9",I I
6 . 7,0 . 83,44 . 0,,"26,23",4 9 .3,I I
"9 ,3",1 .33,48 . 2,,33 .34,42 . 5,""""
"9 , 3",1 . 67,"5 6 , 9",,49 . 48,33 . 8,B
"9 , 3",1 . 93,60 . 1,,58.30,"30 , 3",t i
"12,3",3 . 45,"6 6 , 0",,"89,4 0",21 . 7,t i
,,"temp ,",• o •c .,,,
"5 , 1",0 .33,0,,0,94 . 9,
3 . 7,0 . 24,1 . 5,,o . 4 6,94 . 8,t i
4 .3,0 . 28,3 . 6,,1 . 15,92 . 1,1 1
5.3,0.36,"5 , 3",,1 .  74,89 . 4,t i
"4 , 9",0 . 33,"5 , 4",,1 . 7 7,"89,7",C + D
"3 , 6",0 . 24,"6 , 9",,"2 , 2 7","89,5",D
