0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,Solubility in,the MgHP0,-Na HP0,-H,,0.0,sys tem,,at 25°,,,
10 C 5 Mg,,,10 c 3 2Na 10 C 3 HP0,H2 o4,4 MgHP0a 4 Na 2 2,4 HP0a 4 2,,,a,,,C .,,solidb
g,,ion/1000,g H 2o,,mass% mass%,,,,mass%,,pH,,,phase
802,,,8 . 02,,0 . 09 6,,,,99 . 90,,6 . 98,,,A
543,,,32 . 4  37.78,,0 . 065 0 . 46,,,,99 .48,,8 . 19,,,I I
421,,,7 9 . 8  84 . 02,,0 . 050 1 . 12,,,,98 . 8 3,,8 . 8 6,,,I I
277,,,"159  1 62 , 2",,0 . 032 2 . 21,,,,97.7 6,,9 . 23,,,I I
338,,,3 10 3 13.0,,0.038 4 . 22,,,,9 5 . 74,,9.24,,,I I
553,,,527 532 . 6,,"0.061 6 , 96",,,,92 . 9 7,,9 . 23,,,I I
741,,,665  672 . 1,,"0.081 8,63",,,,91.29,,9 . 26,,,I I
821,,,726 733 . 9,,"0.089 9,3 5",,,,"90 , 56",,9.36,,,I I
1070,,,817 827 . 9,,"0 . 115 10 , 39",,,,89 . 49,,9 . 35,,,A + B
994,,,811  820 . 9,,0.107 10 . 33,,,,89 . 57,,9 . 35,,,B
849,,,"814 822 , 7",,0 . 091  10 . 3 6,,,,89 . 55,,9.36,,,I I
594,,,820 826 . 4,,"0,063 10.43",,,,89 . 50,,9 . 33,,,
321,,,828 830 . 7,,0 . 034  10 . 53,,,,89 . 44,,9.36,,,""""
220,,,825 826.9,,0 . 023 10 . 49,,,,89 . 48,,9 . 3 5,,,""""
,,,834 83 :: . 5,,10. 60,,,,89 . 40,,9.36,,,I I
