0,1,2,3,4,5,6,7
no .,mass%,mol%,mass%,mol%,mass%,mol%,phasea
1,48 . 43,1 5 . 42,----,----,51 .17,84 . 57,A
2,49 . 44,16 . 60,2 . 13,0 . 47,48 .43,82 . 93,A +bB
3,50 . 19,1 6 . 80,2 . 60,0 . 58,4 7 . 2 1,82 . 62,B
4,46 . 60,14 .85,2 . 64,0.56,50 . 7 6,84 . 59,B
5,4 6 . 50,14 . 87,2 . 9 5,0.63,50 . 55,84 . 51,
6,44 . 88,14 . 40,4.7 0,1 . 00,50.42,84 . 60,
7,43 . 12,14 . 14,7 . 80,1 . 7 0,49 . 08,84 . 1 6,
8,42.35,14 . 74,12 . 3 6,2 . 8 5,45.29,8 2.41,
9,4 2 . 30,15 . 52,15 . 64,"3 ,8 0",42 . 06,80 . 68,
10,42 . 2 5,17 . 03,21 . 07,5 . 63,3 6 . 68,7 7 . 34,
11,42 . 89,18 . 3 3,23 . 55,6 . 6 7,33 . 5 6,7 5 . 00,
1 2,43 . 80,19 .8 5,25 . 64,7 . 7 1,30 . 56,7 2 . 44,B C
13,42 . 3 9,18.90,2 6 . 14,7 . 73,3 1 . 4 7,7 3 . 3 7,C
14,41 . 7 2,18 . 66,"26 , 92",7 . 99,31 . 3 6,7 3.3 5,""""
15,4 1 . 39,18.38,2 6 . 87,7 . 92,31 . 74,7 3.70,""""
16,"40 , 98",18 . 29,27 . 49,8 . 14,3 1 . 53,7 3 . 57,""""
17,40 . 84,18 . 26,2 7 . 59,8.18,3 1 .47,7 3 . 56,I I
18,40 . 01,17 . 68,27 . 90,8 . 18,3 2 . 0 9,74 . 14,""""
19,3 9.68,1 7 . 63,28 . 48,8 . 3 9,31 . 84,7 3 . 98,""""
20,39 . 7 3,17 . 7 1,28 . 59,8 . 4 5,31 . 68,7 3 . 84,""""
21,39 . 52,17 . 55,28.59,8 . 4 2,31 . 89,74 . 03,I I
22,"3 9 , 18",17.38,28.8 6,8.49,31 . 96,74 . 13,""""
23,38 . 98,17 . 38,"29 , 29",8.8 6,3 1.73,7 3 . 96,C
24,38 . 7 2,17 . 30,29 . 64,8 . 78,3 1 . 64,7 3 . 92,I I
