0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,,4,,,,,,2,,,solid
No,.t./ •c .,g cm -3,,c. conea  cone b,mass%,cone a,cone b,,mas s%,mass%,b cone,,phase
1,0,"1 , 094",,"19 , 3  100",12 . 7,----,----,,----,87.3 0,687 . 4,,A
2,0,1 . 095,,"16 , 0  81 . 4",10 . 5,6 . 6,18 . 6,,"2 , 4",87 . 10,6 75 . 2,,""""
3,0,1 . 097,,11 . 7 54.7,7 . 6,"17 , 7",4 5 . 3,,1 . 3,91 . 10,619.4,,""""
4 5,0 0,1.165 1 . 15 6,,"4 , 3  ---- 10 . 7  ----",-2--. -5,"65 . 8  69 , 0",89 . 3  100,,"20 , 9  2 2 . 2",7 6 . 60 7 7 .80,3 2 7 . 3  350 . 4,,A + B B
6,25,1 . 14 7,,"32 , 9  100",19 . 92,----,----,,----,"80 , 08",402 . o,,A
7,2 5,"1 , 144",,3 0 . 1  92.6,18 . 28,"4 , 3",7.4,,1 . 4 5,8 0 . 27,406 .8,,""""
8,2 5,1 . 13 7,,"22 ,4 7 0 . 1",13 . 65,"17 , 4",29 . 9,,"5 ,83",80 . 52,413 . 3,,""""
9,25,1 . 138,,21 . 0  65 . 3,1 2 . 7 5,"20 , 6",3 5 . 0,,6.87,"8 0 , 38",4 09 . 6,,""""
10,25,1 . 13 9,,"19 , 8  60 . 2",11 . 98,"23 , 9",39 . 8,,7 . 9 2,80 . 10,402.5,,""""
11,25,1 . 14 0,,"18 , 3  54 . 6",11 . 05,2 7 . 8,45 . 4,,9 . 18,"7 9 , 7 7",394.3,,""""
12,25,1 . 148,,14 . 5 3 9 . 6,8 . 54,40.3,60.4,,13 . 05,78 . 41,363 . 2,,""""
13,25,1.1 7 9,,8 . 8  18 . 2,4 .83,7 1.3,81 .8,,21 . 67,7 3 . 50,2 77  . 4,,""""
14,25,1 . 19 6,,6 . 5  12 . 6,3 . 57,"83 , 9",87 . 4,,24 .82,7 1 . 61,252 . 2,,A +  B
1 5,2 5,1 . 184,,"2 , 7 5 , 3",1 . 44,"8 5 ,8",94 . 7,,25 .81,7 2 . 7 5,267 . 0,,
16,2 5,1 . 17 9,,---- ----,----,86 .8,100,,2 6.40,7 3 . 60,278 . 0,,I I
17,50,-----,,54 . 3 100,29 . 10,----,----,,----,"60 , 90",243 . 7,,
18,50,-----,,38 . 1 7 5 . 5,20.8,"2 2 , 6",24 . 7,,"6 ,8",7 2.4 0,262 . 3,,I I
19,50,-----,,23 . 2 4 5.7,12 . 7,"50 , 4",54 . 3,,1 5 . 1,7 2 . 20,2 60 . 0,,""""
20,50,-----,,10 . 2  15 . 96,5 . 23,"99 , 0",84 . 04,,"27 , 5","67 , 23",205 . 2,,A + B
21,50,-----,,---- ----,----,"104 , 0",100,,3 0 . l,69 . 90,232 . 2,,B
