0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,7 3  31 . 14,29 . 7 3  55 . 4 7,,402 . 2,A +,B +,,C,,,,,,
,74  6 . 7 7,64 . 8 5 2 .88,,102.8,B +,C + E,,,,,,,,
,7 5 39 . 70,1 0 . 85 83 . 7 0,,556 . 5,A,+ B,,,,,,,,
,76  69 . 7 7,20.51 69 . 24,,613 . 0,A,+ C,,,,,,,,
,77  54.56,23 . 08 65 . 46,,534 . 6,,I I,,,,,,,,
,78 25 . 72,36 . 04 46 . 04,,365.3,B,+ C,,,,,,,,
,7 9 21. 08,42 . 16 36 . 76,,317.9,,I I,,,,,,,,
,80  14 . 97,51.89 22 . 09,,237 . 0,,I I,,,,,,,,
,81  9 . 74,61 . 15 8 . 15,,149 .8,,I I,,,,,,,,
,82 6 .80,64.60 3 . 02,,102 . 5,,I I,,,,,,,,
,83 61 . 31,10 . 06 84 . 90,,649.7,,A,,,,,,,,
,84 10 . 00,20 . 00 7 0 . 00,,603 . 8,,B,,,,,,,,
,85 15.63,31 . 26 53 . 11,,457.8,,I I,,,,,,,,
,86 59 . 39,36.58 4 5.34,,622 . 9,,C,,,,,,,,
,87 38 . 7 0,46 . 08 30 . 90,,503 . 7,,I I,,,,,,,,
,88 30 .24,60 . 49 9 . 27,,393 . 6,,I I,,,,,,,,
,89 28 . 42,56 .84  14 . 74,,381 . 9,,I I,,,,,,,,
,,t emp . = 100 °c,,,,,,,,,,,,
,90 27 .84,43.16 35 . 40,,256 . 6,A +,B +,,C,,,,,,
,91 8 . 47,65 . 27 2 . 10,,71 . 6,B +,C +,,E,,,,,,
,92 50 . 41,0 100,,594 . 2,A,+  B,,,,,,,,
,93 44 . 56,11 .88 82 . 22,,418 . 6,,I I,,,,,,,,
,94 35 . 98,27.85 58 . 34,,37 5 . 8,,I I,,,,,,,,
,95  24.04,48 . 08 27 . 88,,223 . 5,B +,C,,,,,,,,
,96 20 . 20,52 . 93 20 . 56,,191 . 7,,I I,,,,,,,,
,97 15 . 15,59 . 27 10.85,,138 . 1,,I I,,,,,,,,
,98 12 . 65,61 . 99  6 .89,,115 . 5,,I I,,,,,,,,
,99  12.10,62. 73  5.74,,105 . 6,,I I,,,,,,,,
,100 9 . 29,64 . 91  2 . 39,,76 . 1,,I I,,,,,,,,
,101 8 . 7 0,65 . 11 2 . 30,,74 . 4,,I I,,,,,,,,
aThe,concentration units  are :,mol/ 100,eq% of,solute.,,,,,,,,,,
bThe,solid phaes are : A,a KCl ; B a  NaCl ;,C,= KH P2 o P4 ; D,= NaH,Po2,,4 • 2H,NaH2,o ;,E,=,,2.0
art 2.,The compiler has calculated,the,following,results,from,the data,,,,in,Part 1 .,,,
,+,+,,-,,,,,,,,,,
,K,Na,,Cl,,H2Po4,,,,,,H2o,,
soln .  no .,mass% mol/kg mass%,mol/kg,mass%,mol/kg,mass%,,,,mol/kg,,,mass%,,
,,"temp • ., 0 °",C,,,,,,,,,,,
1,3 . 83 1 . 44 8 . 68,5.53,15.46,6 . 38,3 . 84,,,,0 . 58,,,68 . 18,,
2,2 . 53 0 . 96 9 . 19,5.97,13 . 70,5 . 7 5,7.60,,,,1 . 17,,,66 . 98,,
3,3 . 88 1 . 44 8 . 72,5 . 49,16 . 14,6 . 58,2.23,,,,0.33,,,69 . 02,,
4,3.88 1 . 44 8 . 73,5 . 49,16.25,6 . 61,2.00,,,,0 . 30,,,69 . 14,,
5,9 . 78 3 . 30 1 . 78,1 . 03,10 .82,4 . 03,2 . 11,,,,0.29,,,7 5 . 52,,
6,8 . 30 2 . 86 3 . 29,1 . 93,11. 70,4 . 43,2 . 4 5,,,,0.34,,,74 . 25,,
7,6 . 30 2 . 23 5.46,3.29,13 . 10,5 . 10,2 .87,,,,o . 41,,,72 .28,,
8,2.38 0 . 90 8 . 76,5 . 66,12 . 25,5 . 12,9.33,,,,1 . 43,,,67 . 27,,
9,2 . 30 0.88 8 . 06,5.23,9 .88,4 . 14,12 . 6 7,,,,1 . 9 5,,,67 . 09,,
10,2 . 06 0 .80 7 . 40,4 .88,6 . 7 1,2 .86,17 . 93,,,,2.80,,,65 . 91,,
11,1 . 30 0 . 4 9 9 . 7 5,6 . 22,13.60,5 . 61,7 . 12,,,,1.08,,,68 . 22,,
12,3 . 33 1 . 26 8 . 92,5 .  7 1,15 . 04,6 . 23,4 . 78,,,,o . 72,,,67 . 94,,
13,"2 . 69 1 . 02 9 , 15",5.91,14.11,5 . 90,6 . 69,,,,1.02,,,67.35,,
14,10 . 10 3 . 34 1.39,0 . 7 9,10 . 7 7,3 . 96,1 . 25,,,,0 . 17,,,76 . 49,,
15,1. 59  0 . 58 9 . 62,5 . 98,14 .83,5 . 96,3 . 94,,,,0.58,,,7 0 . 01,,
