0,1,2,3,4,5,6,7
82,"9 , 69","3 , 78","49 , 40",12 . 78,"40 , 91",83 . 44,
83,8 . 36,3 . 32,51 . 58,13 . 57,4 0 . 06,83 . 11,
84,8 . 10,"3 , 22",51 . 91,"13 , 68",3 9 . 99,83 . 10,
85,"6 , 99","2 , 90",55 . 23,15 . 19,"3 7 , 78",81 . 91,
86,6 . 85,"2 , 93","5 6 , 80","1 5 , 7 5","36 , 35",81 . 32,
87,8 . 36,"4 , 39","65 , 08","22 , 67","26 , 56",72 . 94,
88 89,8--. 7-6-,4--. -74-,"65 , 94 64 . 41","23 , 67 18 . 67","25 . 3 0  35 , 59",71 . 59 81 . 33,G
90,"0 , 46",0 . 20,64 . 40,18 .82,3 5 . 14,80 . 98,II
91,1 . 13,"0 , 51",64 . 83,"19 , 3 7","34 , 01",80 . 12,I I
92,1 . 27,"0 , 57",64 .86,19 . 47,3 3 . 8 7,80. 00,""""
93,"1 , 9 3","0 , 8 7","65 , 03","19 , 80","33 , 04",7 9 . 43,I I
94,"2 , 35",1 . 09,65 . 16,"20 , 06",32 . 49,78 . 8 5,I I
95,"0 ,89","0 , 42","67 , 5 5",21 . 26,"31 , 56",78 . 32,I I
