0,1,2,3,4,5,6,7
2 .46,0 . 16,4 .80,0.2 6,92.74,Na B o7 · 10H,,0
3 . 10,0.20,"4 , 30","0 , 23",92 . 60,2 4,1 1,2
3 . 09,0 . 20,4.49,0 . 24,92 . 42,,1 1,
4 . 27,o.28,4 . 50,0 . 24,91.23,,I I,
5 . 09,0 . 34,3 . 90,0 . 21,91.01,solid,solution,
"5 , 34","0,36","3 , 7 7",0 . 21,9 0 . 89,t i,,t i
"5 , 83","0 , 39",3 . 57,"0 , 20",9 0 . 60,I I,,I I
6.28,o.42,3 . 37,0 . 18,90 . 35,I I,,t i
7 . 3 9,0 . 50,3 . 40,o.19,89.21,I I,,t i
7.82,0 . 53,3.39,0 . 19,88.79,I I,,I
8.18,0 . 5 6,3.21,0 .18,88 . 61,1 1,,
8 . 81,0 . 61,3.30,"0,19",87 . 89,I I,,
"9 , 34","0,65",3.15,"0 , 18",87.51,II,,
"10 , 00",o . 7 0,"3 , 17","0 , 18",86 .83,ti,,
"11 , 7 5",0 . 84,3.24,"0 , 19",85.01,II,,
10 . 95,"0 , 7 7",2 . 92,"0 , 17",86 . 13,I I,,
11 . 68,0.83,2 . 60,"0 , 1 5",8 5 . 72,I I,,
"15 , 20",1 . 12,"2 , 30",0.14,82 . 50,Na/o,,;12n o
16 . 7 5,1 . 2 6,"2 , 70","0 , 17",80.55,,4,1 2
16 .80,1 . 26,1 . 84,0 . 11,81 .36,,,I I
