0,1,2,3,4,5,6,7,8
1,16 . 47,8 . 03,0 .89 0 . 74,25 . 59,,7.87,4 . 60,0 . 90
2,16 . 04,8 . 43,2.19 1 . 9 6,28 . 30,,9 . 38,4 . 7 9,1 . 01
3,14 . 4 6,8 . 14,4 . 14 3.9 6,30 . 7 6,,10 . 92,5 . 22,1 . 18
4,15 . 60,7 .82,4 . 99 4 . 88,31 . 7 0,,11 . 49,5 . 22,1 . 21
5,13 . 12,7 . 99,6 . 00 6 . 21,33 . 62,,12 . 92,5 . 28,1 . 29
6,13 . 82,10 . 18,7 . 40  9 . 27,38.07,,17 . 68,5 . 98,1 . 7 7
7,12 . 54,9 . 16,8 . 28 10 . 29,38 . 91,,17 . 9 1,5 . 22,1 . 53
8,11 . 8 0,"9,10",9 . 32 12 . 23,40 . 54,,19.72,5 . 18,1 . 61
9,11 . 58,9 . 29,9 . 84 13 . 43,41 . 7 9,,21 . 13,4.90,1 . 58
10,11 . 52,10 . 04,10 . 48 15 . 54,42 . 91,,23 . 57,5 . 72,2 . 01
11,11.33,10.68,11 . 29 18 . 11,4 5.26,,26 . 90,4 . 98,1 .89
12,11 . 82,10 . 39,10 . 90 16 . 29,48 . 16,,2 6.68,o . oo,o . oo
13,1 1. 72,10 . 88,11.2 6  17 . 7 7,48.12,,28.16,1 . 34,0 . 50
14,11 . 61,10 . 88,11 . 23 1 7 . 90,4 6. 78,,27 . 63,3 . 05,1.1 5
15,3 . 43,2 . 51,10 . 17 12 . 66,0 . 00,,o . oo,51 . 4 5,15 . 18
16,3 . 34,2 . 80,11 . 80 1 6 . 82,6 . 69,,3.53,4 7  . 64,16.09
17,3 . 28,2 . 63,11 . 99 16 . 3 6,10 . 51,,5.31,42 . 32,13 . 68
18,3 . 65,2.9 5,12 . 2 5  16 . 86,14 . 70,,7 . 50,37 . 7 7,12 . 3 1
19,4 . 19,3 . 39,12 . 14 1 6.72,1 6 . 91,,8 . 63,3 5.1 7,11.48
20,4 . 4 1,3 . 83,12 . 69 18 . 7 5,19 . 63,,10 . 7 5,33.8 0,11 .83
21,5.55,4 . 82,12 . 54 18 . 52,25.30,,13 . 84,27 . 13,9 . 49
22,7 . 20,6 . 3 7,12.56  18 . 90,34.64,,19.3 2,1 6.68,5 . 9 5
23,10 . 04,8 . 98,11.63 17 . 69,43 . 01,,24 . 26,6 .  71,2 . 42
24,o . oo,0.00,13 . 23 14.89,34.38,,5.72,38 . 6 6,9 . 16
25,1 . 33,0 . 9 7,13 . 24 16 .49,34 . 99,,7 . 14,34 . 93,1 0 . 32
26,2. 7 7,2 . 16,12 . 74 16 . 88,35 . 59,,7.87,32.84,11 .17
,,,t emp . = 348 K,,,,,
27,23 . 00,14.87,0 . 00 o . oo,34. 7 7,,14 . 18,2 . 67,0 . 69
28,21 . 56,15.72,2 . 15 2 . 6 6,3 7 . 8 7,,17.41,3 . 32,0 . 9 7
29,19 . 66,15 . 21,3 . 9 9  5 . 25,"39 , 59",,19 . 31,3 . 70,1 . 1 5
30,18 . 3 0,15 . 84,5 . 8 6  8 . 63,42.32,,23 . 09,3 . 94,1 . 3 7
31,16 . 4 7,15 . 81,7 . 9 0 12.89,44.74,,2 7  . 07,4.23,1 . 63
32,14 . 59,15 . 59,9 . 91 18 . 01,4 6 . 9 9,,3 1 . 64,4 . 55,1 . 9 5
33,15 . 39,1 7 . 52,10.20 19 . 74,51 . 94,,37 . 28,0 . 00,0.00
34,15 . 00,17 .31,10 . 3 0 20 . 22,49 .8 9,,3 6 . 31,2 . 63,1 . 22
3 5,14 . 44,16 .81,10 . 53 20 . 8 7,48.27,,3 5.44,4 . 7 8,"2 , 24"
3 6,13 . 71,15 . 28,10 . 69 20 . 28,47 . 04,,33 . 05,5 . 58,2 . 51
3 7,12 . 57,12 . 74,10. 71 18 . 4 6,44 . 23,,28.25,7 . 23,"2 , 95"
38,11 . 03,10 . 65,11 . 09 18 . 20,40 . 39,,"2 /i ,  58",10 . 98,4 . 27
39,10 . 11,9 . 50,11.32 18 . 08,38 . 2 0,,22 . 61,13 . 11,4.96
