Column_A,Column_B,Column_C,Column_D,Column_E,Column_F,Column_G,Column_H,Column_I,Column_J
---- ----,----,41.9,8.48,100.0,,58.1,654,B,
4.020.58,6.9,38.67,7.94,93.1,,57.31,653,II,
4.00.58,6.9,38.43,7.85,93.1,,57.6,660,II,
7.00.67,12.2,35.8,7.33,87.8,,57.2,666,"""",
7.981.17,13.8,35.24,7.30,86.2,,56.78,656,II,
9.01.32,15.7,34.2,7.08,84.3,,56.8,661,"""",
10.641.57,18.7,32.96,6.88,81.3,,56.40,657,B +,C
10.51.54,18.6,32.7,6.77,81.4,,56.8,667,II,
10.91.59,19.6,32.0,6.59,80.4,,57.1,679,C,
13.171.89,24.5,28.81,5.84,75.5,,58.02,718,,
13.21.86,25.2,27.8,5.54,74.8,,59.0,750,,
19.502.68,40.9,19.97,3.88,59.1,,60.53,847,,
20.02.70,43.8,18.2,3.46,56.2,,61.8,902,,
25.93.41,63.0,10.8,2.01,37.0,,63.3,1027,,
26.673.54,64.3,10.52,1.97,35.7,,62.81,1008,,
31.834.18,82.8,4.70,0.87,17.2,,63.47,1106,,
32.61-4.36.44.774.28,85.3100.0,4.0 ----,"-0-,-74-",-- 7-,,63.463.6,11061150,,
