Column_A,Column_B,Column_C,Column_D,Column_E,Column_F,Column_G,Column_H,Column_I,Column_J
----,----,----,46.0,10.02,100.0,54.0,555,B,
4.5,o .71,6.8,42.7,9.51,93.2,52.8,545,"""",
7.8,1.24,12.2,39.8,8.94,87.8,52.4,546,"""",
8.86,1.41,13.9,38.89,8.76,86.1,52.25,547,"""",
9.9,1.58,15.6,38.0,8.58,84.4,52.1,546,"""",
12.4,2.01,19.6,36.1,8.25,80.4,51.5,545,"""",
15.57,2.54,24.9,33.35,7.68,75.1,51.08,544,"""",
15.8,2.58,25.2,33.1,7.62,74.8,51.1,545,"""",
17.79,2.96,28.3,32.05,7.52,71.7,50.16,540,B +,C
18.1,2.99,29.0,31.5,7.35,71.0,50.4,542,"""",
23.0,3.62,40.S,24.0,5.33,59.5,53. Q,621,C,
24.7,3.90,43.7,22.5,5.01,56.3,52.08,624,"""",
26.10,4.07,48.4,20.44,4.50,51.6,52.46,625,"""",
32.6,s . os,62.9,13.6,2.97,37.1,53.8,692,"""",
32.27,4.94,63.2,13.33,2.88,36.8,54.40,709,"""",
38.1,5.84,78.3,7.5,1.62,21.7,54.4,745,"""",
42.245.3,6.466.90,89.9100.0,-3--.4-,0--. -74-,1-0--. -1,54.454.7,772789,""" """,
