0,1,2,3,4,5,6,7,8,9,10
mass%,mo1%,mass%,mo1%,mass%,mol/kg,mass%,mol/kg,mass%,mol/kg,phase
21.48,13.00,41.91,11.04,37.94,8.62,----,----,35.24,13.41,C
19.87,11.55,41.25,10.50,35.09,7.40,----,----,36.03,12.73,C
19.16,11.07,41.40,10.46,33.84,7.06,----,----,36.98,12.93,C
18.36,10.51,41.72,10.46,32.43,"6,74",----,----,38.27,13.32,C
18.31,"10,53",41.92,10.53,32.34,"6,78",----,----,38.60,13.55,C
16.71,9.57,42.90,10.74,29.51,6.23,----,----,41.63,14.72,C
14.63,8.93,48.22,12.88,25.84,6.85,----,----,51.17,22.72,C
13.14,"9,95",53.04,18.33,23.21,13.48,----,----,66.30,64.51,C
12.32,8.80,57.95,18.05,21.76,11.84,----,----,"67,04",61.10,F
10.70,7.55,58.68,18.03,18.90,10.15,----,----,69.75,62.74,F
9.86,7.06,60.08,18.74,17.41,10.60,----,----,72.57,"73,98",F
9.37,6.86,61.42,19.63,16.55,11.85,----,----,74.93,89.86,F
