-0.0508,0.01408,3.608,0.060,lce
-0.1050,0.02949,3.561,0.125,ice
-0.2134,0.06058,3.523,0.256,lce
-0.3138,0.08939,3.5l2,0.378,Lce
-0.4302,0.12309,3.495,0.519,Lce
-0.5847,0.167l6,3.498,0.704,Lce
-0.7098,0. 20258,3.504,0.85l,Lce
-1.1071,0. 31344,3.332,1.311,ice
-1.4271,0. 40120,3.557,1.672,lce
-1. 7394,0. 48463,3.589,2.013,lce
-2.3016,0. 63129,3.646,2.606,lce
--3.4643,0. 9196 9,3.767,3.752,lce
-4.0100,1. 04811,3.826,4.254,lce
-5.0875,1. 28896,3.947,5.181,lce
-6.0055,1. 4861 5,4.041,5.927,lce
-9.0134,2. 0707 7,4.353,8.070,lce
-9.8933,2. 22707,4.422,8.627,ice
-11.8729,2. 5573 2,4.643,9.781,lce
-15.4496,3. 10058,4.983,11.617,lce
-18.7540,3. 54711,5.287,13.071,Lce
-20.9583,3. 82164,5.484,13.942,lce
-21.5387,3. 89463,5.530,14.174,lce
