-0.0051,0.001389,0.01035,lce
-0.0102,0.002865,0.02136,lce
-0.0234,0.006449,0.04806,lce
-0.0399,0.011136,0.08296,lce
-0.Ob80,0.U16217,0.12076,lce
-0.0957,0.027000,0.20089,lce
-0.1342,0.038173,0.28379,lce
-0.1966,0.056239,0.41754,ice
-0.2659,0.076739,0.56887,lce
-0.3663,0.10646,0.78746,lce
-0.4638,0.13558,1.0007,lce
-0.5754,0.16926,1.2462,lce
-0.6865,0.20277,1.4892,lce
-0.7805,0.23141,1.696,lce
-0.9603,0.28624,2.0895,lce
-1.1721,0.35110,2.5509,lce
-1. 3498,0.40548,2.93443,lce
-1.6101,0.48560,3.4939,lce
-1.6928,0.51103,3.67015,lce
-1. 8532,0.56055,4.0115,lce
-2.0667,0.62645,4.4621,ice
-2.2515,0.68415,4.8531,lce
-2.5545,0.77852,5.4858,lce
-2.8692,0.87671,6.1353,lce
-3.2055,0.98203,6.822,lce
-3.7817,1.1624,7.9751,lce
-4.0479,1. 2455,8.4968,lce
