0,1,2,3,4,5,6,7,8
mass%,mol%,mol/kg,mass%,mol%,"mol/ kg""",index,pH,phase
----,----,----,(t 0.368,0.081,0.045,1.441,14.0,
86.03a,36.42,35.4,-----,-----,-----,1.380,9.45,B
67.13,17.25,11.74,0.056,0.032,0.020,1.421,10.12,C
56.35,11.68,7.43,0.117,0.051,0.032,1.423,10.81,I I
49.49,9.27,5.64,0.152,0.059,0.036,1.424,11.15,I I
45.57,7.95,4.82,0.176,0.064,0.039,1.426,11.76,I I
44.59,7.55,4.64,"0,211",0.075,0.046,1.428,"12,85",I I
44.10,7.50,4.55,0.257,0.076,0.056,1.430,13.48,A +  C
27.93,3.86,2.23,0.281,0.075,0.047,1.431,13.49,I I
15.68,1.89,1.07,0.298,0.073,0.042,1.432,13.50,I I
14.21,1.66,0.95,0.295,0.074,0.042,1.432,13.52,I I
12.25,1.42,0.80,0.304,0.075,0.042,1.433,13.54,I I
11.27,1.21,o .73,0.316,0.076,0.043,1.433,13.58,I I
10.78,0.99,0.70,0.323,0.077,0.044,1.434,13.64,I I
6.86,0.77,0.42,0.328,0.077,0.043,1.434,13.81,I I
