0,1,2,3,4,5,6,7
ml/lOOml,Na3P04 sp . gr .,,Na3P04,sp . gr .,,Na3P04,"Sp,gr ."
,g / 100 ml,,g / 100 ml,,,g/ .100 ml,
0,4.86,1.04,"8,35",1.08,,11.50,1.07
10,"2,37","0,98",3.30,1.02,,"6,39",1.05
20,1.05,0.98,1.25,"0,98",,3.02,1.00
30,0.47,0.97,0.72,0.95,,"0,61","0,96"
40,"0,19",0.95,0.16,"0,94",,0.32,"0,93"
so,trace,----,trace,----,,"0,18","0,90"
60100,00,--------,00,--------,,"0,070","0,9----0"
,40° C,,,,,,
0,17.05,1.13,,,,,
10,9.67,1.10,,,,,
20,5.11,1.04,,,,,
30,"2,25",1.00,,,,,
40,0.87,"0,97",,,,,
so,"0,26","0,94",,,,,
60,0.08,0.91,,,,,
