0,1,2,3,4,5,6,7,8,9
0.65,1.74,,1.71,0.12,30.21,20.80,,17.22,1.46
0.65,1.74,l.74,l.71,0.12,30.21,20.76,20.81,17.19,1.46
0.65,1.74,,1.71,0.12,30.21,20.88,,17.27,1.47
10.26,3.55,,3.43,0.25,30.26,21.60,,17.76,1.52
10.26,3.54,3.55,3.42,0.25,30.26,21.62,,17.78,1.52
10.36,3.58,,3.46,0.25,30.26,21.56,,17.74,1.52
10.36,3.59,,"3,46",0.25,30.26,21.55,,17.73,1.52
10.36,3.58,3.58,3.46,0.25,30.26,21.56,21.59,17.74,1.52
10.36,3.58,,3.46,"0,25",30.26,21.61,,17.77,1.52
15.11,5.23,,4.97,0.37,30.26,21.60,,17.76,1.52
15.11,5.22,5.23,4.96,0.37,30.26,21.59,,17.76,1.52
20.24,7.88,,7.30,0.55,30.26,21.59,,17.76,1.52
20.24,7.90,7.89,7.32,0.56,30.76,23.42,,18.98,1.65
20.24,7.89,,7.31,0.56,30.76,23.40,23.41,18.96,1.65
20.24,7.89,,7.31,0.56,30.76,23.41,,18.97,1.65
25.15,"12,03",,10.74,a . as,33.04,30.88,,23.59,2.17
25.15,12.01,12.02,10.72,0.84,33.04,30.88,30.88,23.59,2.17
25.15,12.01,,10.72,0.84,33.14,31.39,,23.89,2.21
25.40,12.32,,10.97,0.87,33.14,31.37,31.38,23.88,2.21
25.40,12.34,12.32,10.98,0.87,36.27,45.36,,31.20,3.19
"25,40",12.31,,10.96,0.86,36.27,45.35,,31.20,3.19
25.50,12.42,,11.05,0.87,36.27,45.34,,31.20,3.19
25.50,12.41,12.43,11.04,0.87,36.27,45.38,,31.21,3.19
25.50,12.47,,11.09,a . as,36.27,45.39,45.37,31.22,3.19
