0,1,2,3,4,5,6,7
no .,mass%,mol%,mass%,mol%,mass%,mol%,phasea
1,48.43,15.42,----,----,51.17,84.57,A
2,49.44,16.60,2.13,0.47,48.43,82.93,A +bB
3,50.19,16.80,2.60,0.58,47.21,82.62,B
4,46.60,14.85,2.64,0.56,50.76,84.59,B
5,46.50,14.87,2.95,0.63,50.55,84.51,
6,44.88,14.40,4.70,1.00,50.42,84.60,
7,43.12,14.14,7.80,1.70,49.08,84.16,
8,42.35,14.74,12.36,2.85,45.29,82.41,
9,42.30,15.52,15.64,"3,80",42.06,80.68,
10,42.25,17.03,21.07,5.63,36.68,77.34,
11,42.89,18.33,23.55,6.67,33.56,75.00,
12,43.80,19.85,25.64,7.71,30.56,72.44,B C
13,42.39,18.90,26.14,7.73,31.47,73.37,C
14,41.72,18.66,"26,92",7.99,31.36,73.35,""""
15,41.39,18.38,26.87,7.92,31.74,73.70,""""
16,"40,98",18.29,27.49,8.14,31.53,73.57,""""
17,40.84,18.26,27.59,8.18,31.47,73.56,I I
18,40.01,17.68,27.90,8.18,32.09,74.14,""""
19,39.68,17.63,28.48,8.39,31.84,73.98,""""
20,39.73,17.71,28.59,8.45,31.68,73.84,""""
21,39.52,17.55,28.59,8.42,31.89,74.03,I I
22,"39,18",17.38,28.86,8.49,31.96,74.13,""""
23,38.98,17.38,"29,29",8.86,31.73,73.96,C
24,38.72,17.30,29.64,8.78,31.64,73.92,I I
