0,1,2,3,4,5,6
- 0.30,,272.85,1. 78,0.185,Ice,
- 0.67,,272.48,4.35,0.464,"""",
- 1.01,,272 .14,7.17,0.785,"""",
- 1.90,,271.25,17.66,2.149,"""",
- 2.38,,270.77,27.65,3.766,"""",
- 4.72,,268.43,54.19,10.81,"""",
- 6.32,,266.83,60.72,13.67,"""",
-12.25,,260.90,71.04,20.08,"""",
-13.5,,259.7,72.2,21.0,"""",
-14b,,259.2,72.8,21.5,Ice +,HI03
-15,,258.2,73.8,22.4,Unstable,ice
-19,,254.2,76.2,24.7,"""",
,,273.2,74.1,22.7,HI03,
°13.5 c,,286.7,74.1,22.7,"""",
16,,289.2,75.6,24.1,"""",
l8c,,291. 2,74.55,23.08,"""",
40,,313.2,77.7,26.3,"""",
60,,333.2,80.0,29.1,"""",
80,,353.2,82.5,32.6,"""",
85,,358.2,83.0,33.3,"""",
101,,374.2,85.2,37.1,"""",
110,,383.2,86.5,39.f>,HI03 +,HI308
125,,398.2,87.2,41.1,HI308,
140,,413.2,88.3,43.6,"""",
160,,433.2,90.5,49.4,"""",
